range_pct,range_width,rebalance_count,avg_period_hours,avg_period_days,rebalances_per_month,efficiency_score
1.0,±0.5%,3336,2.6254120467485764,0.10939216861452401,274.1604839630179,2.9967036260113874e-06
2.0,±1.0%,1633,5.361689106487148,0.22340371277029783,134.2038580070768,1.2239902080783353e-05
3.0,±1.5%,974,8.985641025641026,0.3744017094017094,80.04565688848305,3.076923076923077e-05
4.0,±2.0%,638,13.710485133020343,0.5712702138758476,52.432370733934484,6.259780907668232e-05
5.0,±2.5%,456,19.170678336980306,0.7987782640408461,37.47517406688734,0.00010940919037199125
6.0,±3.0%,354,24.67887323943662,1.0282863849765258,29.092569341399383,0.00016901408450704225
7.000000000000001,±3.5%,269,32.44814814814815,1.3520061728395063,22.10706540349275,0.00025925925925925926
8.0,±4.0%,229,38.09130434782609,1.5871376811594204,18.81976943271316,0.00034782608695652176
9.0,±4.5%,183,47.61413043478261,1.9839221014492754,15.03937906631663,0.0004891304347826086
10.0,±5.0%,142,61.26573426573427,2.5527389277389276,11.669900696267549,0.0006993006993006993
11.0,±5.5%,126,68.98425196850394,2.8743438320209975,10.354982307955712,0.0008661417322834646
12.0,±6.0%,103,84.24038461538461,3.5100160256410255,8.464787124757448,0.0011538461538461537
13.0,±6.5%,97,89.39795918367346,3.7249149659863945,7.971692729140509,0.001326530612244898
14.000000000000002,±7.0%,87,99.55681818181819,4.148200757575758,7.149868736445611,0.001590909090909091
15.0,±7.5%,81,106.84146341463415,4.451727642276423,6.656774340828672,0.0018292682926829267
16.0,±8.0%,59,146.01666666666668,6.084027777777778,4.848761556899897,0.0026666666666666666
17.0,±8.5%,58,148.4915254237288,6.187146892655367,4.7665791576304075,0.00288135593220339
18.0,±9.0%,54,159.29090909090908,6.637121212121212,4.437849560552448,0.0032727272727272726
19.0,±9.5%,48,178.79591836734693,7.449829931972789,3.9447551649355095,0.0038775510204081634
20.0,±10.0%,47,182.52083333333334,7.605034722222222,3.8625727656660196,0.004166666666666667
21.0,±10.5%,45,190.45652173913044,7.9356884057971016,3.6982079671270403,0.004565217391304347
22.0,±11.0%,36,236.78378378378378,9.86599099099099,2.958566373701632,0.005945945945945946
23.0,±11.5%,37,230.55263157894737,9.606359649122806,3.040748772971122,0.0060526315789473685
24.0,±12.0%,29,292.03333333333336,12.168055555555556,2.3832895788152038,0.008
25.0,±12.5%,27,312.89285714285717,13.037202380952381,2.218924780276224,0.008928571428571428
26.0,±13.0%,25,336.96153846153845,14.040064102564102,2.0545599817372446,0.01
27.0,±13.5%,28,302.1034482758621,12.587643678160921,2.301107179545714,0.009310344827586208
28.000000000000004,±14.0%,24,350.44,14.601666666666667,1.9723775824677547,0.011200000000000002
28.999999999999996,±14.5%,22,380.9130434782609,15.871376811594203,1.8080127839287752,0.012608695652173912
30.0,±15.0%,23,365.0416666666667,15.210069444444445,1.8901951831982648,0.012499999999999999
31.0,±15.5%,19,438.05,18.252083333333335,1.5614655861203057,0.0155
32.0,±16.0%,15,547.5625,22.815104166666668,1.2327359890423466,0.02
33.0,±16.5%,16,515.3529411764706,21.473039215686274,1.3149183883118365,0.019411764705882354
34.0,±17.0%,15,547.5625,22.815104166666668,1.2327359890423466,0.02125
35.0,±17.5%,12,673.9230769230769,28.080128205128204,0.9861887912338774,0.02692307692307692
36.0,±18.0%,13,625.7857142857143,26.074404761904763,1.068371190503367,0.025714285714285714
37.0,±18.5%,12,673.9230769230769,28.080128205128204,0.9861887912338774,0.02846153846153846
38.0,±19.0%,12,673.9230769230769,28.080128205128204,0.9861887912338774,0.02923076923076923
39.0,±19.5%,12,673.9230769230769,28.080128205128204,0.9861887912338774,0.030000000000000002
40.0,±20.0%,10,796.4545454545455,33.18560606060606,0.8218239926948978,0.03636363636363637
41.0,±20.5%,10,796.4545454545455,33.18560606060606,0.8218239926948978,0.03727272727272727
42.0,±21.0%,10,796.4545454545455,33.18560606060606,0.8218239926948978,0.03818181818181818
43.0,±21.5%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.04777777777777778
44.0,±22.0%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.04888888888888889
45.0,±22.5%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.05
46.0,±23.0%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.051111111111111114
47.0,±23.5%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.05222222222222222
48.0,±24.0%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.05333333333333333
49.0,±24.5%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.05444444444444444
50.0,±25.0%,8,973.4444444444445,40.56018518518518,0.6574591941559182,0.05555555555555555
