range_percentage,apr_percentage
0.5,1320.1702558631082
1.0,663.8228983129154
1.5,443.73492607353774
2.0,333.44066805142785
2.5,267.18135530403026
3.0,222.97224591082764
3.5,191.37530097496395
4.0,167.66623898282424
4.5,149.21837757944624
5.0,134.454769756002
5.5,122.3714384768644
6.0,112.29881672404657
6.5,103.77321655307567
7.0,96.4633477245068
7.5,90.12621139439811
8.0,84.57952444442289
8.5,79.68387129140433
9.0,75.33080214346656
9.5,71.43468793589915
10.0,67.92701769566013
10.5,64.75232453770758
11.0,61.86522230238211
11.5,59.22821494384769
12.0,56.81005336769375
12.5,54.58448648667286
13.0,52.5293003953615
13.5,50.62557099094306
14.0,48.8570766955974
14.5,47.20983264717613
15.0,45.6717180239986
15.5,44.23217547953981
16.0,42.88196691737111
16.5,41.612973658624504
17.0,40.418031864742396
17.5,39.290796166254474
18.0,38.22562601443616
18.5,37.21749045796172
19.0,36.26188795127149
19.5,35.35477849727046
20.0,34.49252596633162
