range_percentage,apr_percentage
0.5,1311.0133993703212
1.0,656.4750997757671
1.5,438.2164239931146
2.0,329.06842173689216
2.5,263.57122315379974
3.0,219.90124770951303
3.5,188.70464451032808
4.0,165.30419664547554
4.5,147.1013350255999
5.0,132.53686625466446
5.5,120.61855053214173
6.0,110.68488079673062
6.5,102.27788270216189
7.0,95.07042694897918
7.5,88.82261571782247
8.0,83.35452368089817
8.5,78.52855955093389
9.0,74.23770695103619
9.5,70.39747859666424
10.0,66.94028416284958
10.5,63.81140729400753
11.0,60.96607976801419
11.5,58.36731890527268
12.0,55.98430561426283
12.5,53.791151698379444
13.0,51.765951624949025
13.5,49.890045008332436
14.0,48.14743712952957
14.5,46.52433934619895
15.0,45.00880141912631
15.5,43.59041500014827
16.0,42.2600727152059
16.5,41.009771049797415
17.0,39.832448018823456
17.5,38.72184866404256
18.0,37.672412968289755
18.5,36.67918194550323
19.0,35.73771855842969
19.5,34.844040802661965
20.0,33.994564827928585
