arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,full,2855.9938888888887,-1181.8607172168427,-9.931623916828254,1438.14966250303,-1449.3792282011473,65.69779963938994,-1383.6814285617502,1069.5136556381265,-76.96677583230732,2.462735922256775,465278.5060985151,1473422.1137500007,7323,8661,2939671613.5874705,2883628780.443666,1778806,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-05,744.0,-641.9693824864829,-20.70868975762848,907.6385866964167,-899.8512944350321,54.36520380990413,-845.4860906251286,570.1535137184815,-69.43016360206603,2.193213922101399,336347.8586659527,928042.5251570911,2167,2911,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-06,720.0,-539.8711347303597,-17.99570449101199,530.5110758066182,-549.527933766109,11.332595829485875,-538.1953379366242,499.3399419196473,-7.536612230241409,0.2695220001553771,128930.6474325626,545379.5885929147,5156,5749,1324276417.2990916,1295886900.221595,1203239,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-08,647.9938888888889,-0.0202,-0.0007481552037956461,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,full,2855.9938888888887,-1245.8205062247787,-10.469102285448876,1438.14966250303,-1449.3792282011473,65.69779963938994,-1383.6814285617502,1069.5136556381265,-76.96677583230732,2.462735922256775,465278.5060985151,1473422.1137500007,7323,8661,2939671613.5874705,2883628780.443666,1778806,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-05,744.0,-688.2056426867133,-22.200182022152042,907.6385866964167,-899.8512944350321,54.36520380990413,-845.4860906251286,570.1535137184815,-69.43016360206603,2.193213922101399,336347.8586659527,928042.5251570911,2167,2911,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-06,720.0,-557.5946635380654,-18.58648878460218,530.5110758066182,-549.527933766109,11.332595829485875,-538.1953379366242,499.3399419196473,-7.536612230241409,0.2695220001553771,128930.6474325626,545379.5885929147,5156,5749,1324276417.2990916,1295886900.221595,1203239,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-08,647.9938888888889,-0.0202,-0.0007481552037956461,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,full,2855.9938888888887,-1476.661178680862,-12.40894401987968,1438.14966250303,-1449.3792282011473,65.69779963938994,-1383.6814285617502,1069.5136556381265,-76.96677583230732,2.462735922256775,465278.5060985151,1473422.1137500007,7323,8661,2939671613.5874705,2883628780.443666,1778806,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-05,744.0,-855.0793857372305,-27.583205991523563,907.6385866964167,-899.8512944350321,54.36520380990413,-845.4860906251286,570.1535137184815,-69.43016360206603,2.193213922101399,336347.8586659527,928042.5251570911,2167,2911,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-06,720.0,-621.5615929436314,-20.71871976478771,530.5110758066182,-549.527933766109,11.332595829485875,-538.1953379366242,499.3399419196473,-7.536612230241409,0.2695220001553771,128930.6474325626,545379.5885929147,5156,5749,1324276417.2990916,1295886900.221595,1203239,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-08,647.9938888888889,-0.0202,-0.0007481552037956461,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,full,2855.9938888888887,-1080.3843114064737,-9.078879186202675,1484.3640356438668,-1644.2139386936901,-22.192236459519744,-1666.4061751532058,833.0048011875223,8.945722458049522,3.4107256980026053,391601.90960516344,1110758.0876576474,6152,8813,4737626288.908481,4668610872.014077,3015015,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-05,744.0,-422.4171873308636,-13.626360881640762,678.9373241160741,-731.3675692617708,-13.138109734304862,-744.5056789960756,309.6908220158058,-2.69381564443225,2.5719045064722126,237077.11339262224,509470.59944870154,1111,1855,1615414638.9706728,1601137416.6318595,575611,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-06,720.0,-515.833700947724,-17.194456698257465,720.5312754081959,-809.2992635546791,-20.84098125792518,-830.2351232761498,406.8662714576852,26.123202246993554,0.5501301707984673,130730.41350744416,538799.2288218922,3051,3771,1514413252.6110125,1497240133.9821258,1405257,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-07,744.0,-121.76014833936878,-3.9277467206247993,81.68347791610177,-100.21324932037578,11.498172851549747,-88.63100342889732,96.61487183138738,-14.024720189038925,0.2722670197981909,22405.73500980399,60175.406074466235,1550,2294,1169515005.643973,1136178534.856471,783542,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-08,647.9938888888889,-20.37327478853332,-0.7545728490792002,3.2119582034883534,-3.3338565568733816,0.2886816811605617,-3.0343694520946323,19.832835882641422,-0.45894395547284556,0.01642400093372788,1388.6476952948487,2312.853312592487,440,893,438283391.68282545,434054786.54361326,250605,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,full,2855.9938888888887,-1134.2161028714931,-9.531248149661172,1484.3640356438668,-1644.2139386936901,-22.192236459519744,-1666.4061751532058,833.0048011875223,8.945722458049522,3.4107256980026053,391601.90960516344,1110758.0876576474,6152,8813,4737626288.908481,4668610872.014077,3015015,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-05,744.0,-455.00713496964846,-14.67764951514995,678.9373241160741,-731.3675692617708,-13.138109734304862,-744.5056789960756,309.6908220158058,-2.69381564443225,2.5719045064722126,237077.11339262224,509470.59944870154,1111,1855,1615414638.9706728,1601137416.6318595,575611,0.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-06,720.0,-533.8046356787729,-17.793487855959096,720.5312754081959,-809.2992635546791,-20.84098125792518,-830.2351232761498,406.8662714576852,26.123202246993554,0.5501301707984673,130730.41350744416,538799.2288218922,3051,3771,1514413252.6110125,1497240133.9821258,1405257,0.0
