arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,full,2855.9938888888887,-5309.080707473092,-44.6142190552535,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-696.1402991030043,9.284007295887452,1453612.9808958948,8104517.534492316,13967,13969,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-05,744.0,-772.3311334802386,-24.9139075316206,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-65.79098460771624,2.5590296614244523,226161.30174890286,1270454.5652173536,2167,2168,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-06,720.0,-2282.8454011751774,-76.09484670583925,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-167.86164299183545,1.0278708963576018,641601.2103207948,3504955.9198363717,6016,6016,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-07,744.0,-1234.1411920823841,-39.81100619620594,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-209.4511424368952,3.2575378613280495,301479.9947118748,1707218.621067968,2957,2957,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-08,647.9938888888889,-1019.7629807353511,-37.769355478975854,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-253.0365290665583,2.43956887677734,284370.47411432595,1621888.428370632,2827,2828,1145308490.6297534,1122783329.4450593,669716,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,full,2855.9938888888887,-5508.902488059734,-46.29339727504485,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-696.1402991030043,9.284007295887452,1453612.9808958948,8104517.534492316,13967,13969,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-05,744.0,-803.4205325219326,-25.916791371675245,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-65.79098460771624,2.5590296614244523,226161.30174890286,1270454.5652173536,2167,2168,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-06,720.0,-2371.043496512652,-79.0347832170884,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-167.86164299183545,1.0278708963576018,641601.2103207948,3504955.9198363717,6016,6016,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-07,744.0,-1275.5843204434489,-41.14788130462738,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-209.4511424368952,3.2575378613280495,301479.9947118748,1707218.621067968,2957,2957,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-08,647.9938888888889,-1058.8541385817614,-39.21718979408421,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-253.0365290665583,2.43956887677734,284370.47411432595,1621888.428370632,2827,2828,1145308490.6297534,1122783329.4450593,669716,0.0
