arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,full,2855.9938888888887,-1636.561202399457,-13.752644573363456,2704.820129591491,-3639.3788518894803,47.68230358280857,-3591.696548306666,462.6066516344121,-128.94097160662145,9.922562379809236,847075.2158420243,769946.3892035172,1551,4408,5444641880.183741,2013670535.0681121,3434112,6379534.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-05,744.0,-340.25999707301503,-10.976128937839194,525.862027898139,-740.1743758622877,-44.824739620111245,-784.8719193594544,105.97282214646253,63.72091284715636,2.699990660019791,210172.31336901826,176265.64334910284,356,1100,1612945302.6644208,686110827.7272648,574430,1467326.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-06,720.0,-622.9233479711179,-20.764111599037264,972.6738247105782,-1379.7000622514347,-87.99287979702297,-1469.2352622492717,138.41186609024794,58.82282586526668,1.1622770417107986,241608.605086461,230819.4861110531,459,1179,1516873603.7802618,464356903.215536,1406425,1944483.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-07,744.0,-364.7626702154158,-11.766537748884382,695.766518870129,-842.0484197927174,58.39040005676543,-782.2834506051328,125.07300450117684,-114.70102226463699,3.415857395225019,211126.86043257662,208145.53734466896,420,1164,1169515005.6439712,460231193.8512945,783542,1705596.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-08,647.9938888888889,-308.6151871399064,-11.430299912331098,510.51775811265117,-677.4559939830364,122.10952294317735,-555.3059160928117,93.14895889652497,-136.78368805440743,2.6444372828536453,184167.43695396747,154715.7223986905,316,965,1145307968.0950816,402971610.274018,669715,1262129.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,full,2855.9938888888887,-1753.0049051903104,-14.731165177995326,2704.820129591491,-3639.3788518894803,47.68230358280857,-3591.696548306666,462.6066516344121,-128.94097160662145,9.922562379809236,847075.2158420243,769946.3892035172,1551,4408,5444641880.183741,2013670535.0681121,3434112,6379534.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-05,744.0,-369.15146023367515,-11.908111620441135,525.862027898139,-740.1743758622877,-44.824739620111245,-784.8719193594544,105.97282214646253,63.72091284715636,2.699990660019791,210172.31336901826,176265.64334910284,356,1100,1612945302.6644208,686110827.7272648,574430,1467326.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-06,720.0,-656.1362198344914,-21.87120732781638,972.6738247105782,-1379.7000622514347,-87.99287979702297,-1469.2352622492717,138.41186609024794,58.82282586526668,1.1622770417107986,241608.605086461,230819.4861110531,459,1179,1516873603.7802618,464356903.215536,1406425,1944483.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-07,744.0,-393.7853507608963,-12.702753250351494,695.766518870129,-842.0484197927174,58.39040005676543,-782.2834506051328,125.07300450117684,-114.70102226463699,3.415857395225019,211126.86043257662,208145.53734466896,420,1164,1169515005.6439712,460231193.8512945,783542,1705596.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-08,647.9938888888889,-333.9318743612457,-12.36796383745544,510.51775811265117,-677.4559939830364,122.10952294317735,-555.3059160928117,93.14895889652497,-136.78368805440743,2.6444372828536453,184167.43695396747,154715.7223986905,316,965,1145307968.0950816,402971610.274018,669715,1262129.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,full,2855.9938888888887,-2173.2680591569633,-18.26279587736062,2704.820129591491,-3639.3788518894803,47.68230358280857,-3591.696548306666,462.6066516344121,-128.94097160662145,9.922562379809236,847075.2158420243,769946.3892035172,1551,4408,5444641880.183741,2013670535.0681121,3434112,6379534.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-05,744.0,-473.42517482362496,-15.27177983302016,525.862027898139,-740.1743758622877,-44.824739620111245,-784.8719193594544,105.97282214646253,63.72091284715636,2.699990660019791,210172.31336901826,176265.64334910284,356,1100,1612945302.6644208,686110827.7272648,574430,1467326.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-06,720.0,-776.0065601538996,-25.86688533846332,972.6738247105782,-1379.7000622514347,-87.99287979702297,-1469.2352622492717,138.41186609024794,58.82282586526668,1.1622770417107986,241608.605086461,230819.4861110531,459,1179,1516873603.7802618,464356903.215536,1406425,1944483.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-07,744.0,-498.5326489854964,-16.08169835437085,695.766518870129,-842.0484197927174,58.39040005676543,-782.2834506051328,125.07300450117684,-114.70102226463699,3.415857395225019,211126.86043257662,208145.53734466896,420,1164,1169515005.6439712,460231193.8512945,783542,1705596.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-08,647.9938888888889,-425.3036751939402,-15.752136524245525,510.51775811265117,-677.4559939830364,122.10952294317735,-555.3059160928117,93.14895889652497,-136.78368805440743,2.6444372828536453,184167.43695396747,154715.7223986905,316,965,1145307968.0950816,402971610.274018,669715,1262129.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,full,2855.9938888888887,-1366.0215610477217,-11.479197344466302,2372.8760025610377,-3176.5387117799373,59.31902057628133,-3117.2196912036597,344.34429024091133,-128.93532158902912,10.558132021270405,801191.4949416816,573781.1779649107,1146,4003,5444641880.183741,2604218247.415215,3434112,4850260.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-05,744.0,-300.41571003139643,-9.690829355851498,436.99755015828845,-626.896205786381,-49.12334583929396,-676.0195516256749,76.57721710165445,53.82260666225053,2.8727802906441813,209233.2581413821,127697.751894577,253,997,1612945302.6644208,856298483.522663,574430,1117119.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-06,720.0,-532.3275630510166,-17.744252101700553,884.7859389260536,-1240.363785123648,-95.83803426313705,-1337.515319906408,110.61045950498296,75.12396523321478,1.2142734106847175,228457.46577408648,184523.19205622308,366,1086,1516873603.7802618,626249306.5121899,1406425,1543898.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-07,744.0,-277.47716437015447,-8.950876270004983,617.8141395609728,-716.620512650567,72.69402455845932,-644.5904938907926,90.65227340489292,-124.57782980208505,3.7330719665149914,197599.69153161146,150896.79418989914,304,1048,1169515005.6439712,612040809.2797451,783542,1280217.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-08,647.9938888888889,-255.8011235951476,-9.47420503735064,433.27837391572734,-592.6582082193422,131.58637612025302,-459.0943257807819,66.50434022938113,-133.3040636824093,2.738006353426526,165901.0794946026,110663.4398242116,223,872,1145307968.0950816,509629648.10061985,669715,909026.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,full,2855.9938888888887,-1476.157830614777,-12.404714195147548,2372.8760025610377,-3176.5387117799373,59.31902057628133,-3117.2196912036597,344.34429024091133,-128.93532158902912,10.558132021270405,801191.4949416816,573781.1779649107,1146,4003,5444641880.183741,2604218247.415215,3434112,4850260.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-05,744.0,-329.17808540175645,-10.618647916185692,436.99755015828845,-626.896205786381,-49.12334583929396,-676.0195516256749,76.57721710165445,53.82260666225053,2.8727802906441813,209233.2581413821,127697.751894577,253,997,1612945302.6644208,856298483.522663,574430,1117119.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-06,720.0,-563.7326056581308,-18.791086855271026,884.7859389260536,-1240.363785123648,-95.83803426313705,-1337.515319906408,110.61045950498296,75.12396523321478,1.2142734106847175,228457.46577408648,184523.19205622308,366,1086,1516873603.7802618,626249306.5121899,1406425,1543898.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-07,744.0,-304.6403245263624,-9.827107242785884,617.8141395609728,-716.620512650567,72.69402455845932,-644.5904938907926,90.65227340489292,-124.57782980208505,3.7330719665149914,197599.69153161146,150896.79418989914,304,1048,1169515005.6439712,612040809.2797451,783542,1280217.0
always_in_w6,6.0,0.0030043540627415766,central,3.3586560000000003,2026-08,647.9938888888889,-278.6068150285209,-10.318868241411828,433.27837391572734,-592.6582082193422,131.58637612025302,-459.0943257807819,66.50434022938113,-133.3040636824093,2.738006353426526,165901.0794946026,110663.4398242116,223,872,1145307968.0950816,509629648.10061985,669715,909026.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,full,2855.9938888888887,-1873.656492242771,-15.74504623023581,2372.8760025610377,-3176.5387117799373,59.31902057628133,-3117.2196912036597,344.34429024091133,-128.93532158902912,10.558132021270405,801191.4949416816,573781.1779649107,1146,4003,5444641880.183741,2604218247.415215,3434112,4850260.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-05,744.0,-432.98590238977613,-13.967287173863745,436.99755015828845,-626.896205786381,-49.12334583929396,-676.0195516256749,76.57721710165445,53.82260666225053,2.8727802906441813,209233.2581413821,127697.751894577,253,997,1612945302.6644208,856298483.522663,574430,1117119.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-06,720.0,-677.0782133654777,-22.569273778849258,884.7859389260536,-1240.363785123648,-95.83803426313705,-1337.515319906408,110.61045950498296,75.12396523321478,1.2142734106847175,228457.46577408648,184523.19205622308,366,1086,1516873603.7802618,626249306.5121899,1406425,1543898.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-07,744.0,-402.6763289245835,-12.98955899756721,617.8141395609728,-716.620512650567,72.69402455845932,-644.5904938907926,90.65227340489292,-124.57782980208505,3.7330719665149914,197599.69153161146,150896.79418989914,304,1048,1169515005.6439712,612040809.2797451,783542,1280217.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-08,647.9938888888889,-360.9160475629278,-13.36738708502779,433.27837391572734,-592.6582082193422,131.58637612025302,-459.0943257807819,66.50434022938113,-133.3040636824093,2.738006353426526,165901.0794946026,110663.4398242116,223,872,1145307968.0950816,509629648.10061985,669715,909026.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,full,2855.9938888888887,-1003.9030127242065,-8.436177822059168,1876.3254305809653,-2534.540918281624,79.14799876520385,-2455.392919516422,215.74719209136205,-79.94758723172397,11.072693141695337,706720.9556822542,359702.4017291213,715,3572,5444641880.183741,3363892731.784617,3434112,3178536.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-05,744.0,-219.54178773208503,-7.081993152647904,337.3067472932922,-480.6566459084951,-51.291424751433055,-531.1138200566995,47.35417373166262,51.82528018993127,3.056383026480624,167652.240188644,79136.23420303121,154,898,1612945302.6644208,1092359156.0735745,574430,630764.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-06,720.0,-378.6973171244066,-12.623243904146886,726.2811791352999,-1026.4162608937559,-99.25492956667688,-1126.5054410636606,72.51803631367571,135.57042545734697,1.2234050602524897,215467.99092726698,120972.79595281415,240,960,1516873603.7802618,835578857.3303372,1406425,1117214.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-07,744.0,-196.03619660058953,-6.323748277438372,470.99747535776055,-559.8161949923692,86.77006907312023,-473.1031912029639,54.71562846578921,-106.7577227210546,3.8722547273949957,183111.8160077488,91117.8495941594,183,927,1169515005.6439712,777055799.4344428,783542,807465.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-08,647.9938888888889,-209.62771126712747,-7.764062526944189,341.74002879461005,-467.65181648700593,142.92428401019356,-324.67046719309747,41.159353580234715,-160.58557015794767,2.9206503275672593,140488.9085585934,68475.52197911678,138,787,1145307968.0950816,658898918.946262,669715,623093.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,full,2855.9938888888887,-1101.052832929641,-9.252564612661693,1876.3254305809653,-2534.540918281624,79.14799876520385,-2455.392919516422,215.74719209136205,-79.94758723172397,11.072693141695337,706720.9556822542,359702.4017291213,715,3572,5444641880.183741,3363892731.784617,3434112,3178536.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-05,744.0,-242.58820352096112,-7.8254259200310035,337.3067472932922,-480.6566459084951,-51.291424751433055,-531.1138200566995,47.35417373166262,51.82528018993127,3.056383026480624,167652.240188644,79136.23420303121,154,898,1612945302.6644208,1092359156.0735745,574430,630764.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-06,720.0,-408.3167537780179,-13.610558459267263,726.2811791352999,-1026.4162608937559,-99.25492956667688,-1126.5054410636606,72.51803631367571,135.57042545734697,1.2234050602524897,215467.99092726698,120972.79595281415,240,960,1516873603.7802618,835578857.3303372,1406425,1117214.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-07,744.0,-221.20777225518432,-7.135734588876914,470.99747535776055,-559.8161949923692,86.77006907312023,-473.1031912029639,54.71562846578921,-106.7577227210546,3.8722547273949957,183111.8160077488,91117.8495941594,183,927,1169515005.6439712,777055799.4344428,783542,807465.0
