time_ms,iso_utc,funding_rate_hourly,premium
1777593600045,2026-05-01T00:00:00.045000+00:00,-0.0000007267,-0.0005058135
1777597200040,2026-05-01T01:00:00.040000+00:00,-0.0000077157,-0.000561726
1777600800073,2026-05-01T02:00:00.073000+00:00,-0.0000032288,-0.0005258306
1777604400003,2026-05-01T03:00:00.003000+00:00,-0.0000133186,-0.0006065492
1777608000097,2026-05-01T04:00:00.097000+00:00,-0.0000099635,-0.0005797078
1777611600029,2026-05-01T05:00:00.029000+00:00,-0.0000074958,-0.0005599668
1777615200052,2026-05-01T06:00:00.052000+00:00,-0.000011745,-0.0005939603
1777618800028,2026-05-01T07:00:00.028000+00:00,-0.0000001114,-0.0005008913
1777622400049,2026-05-01T08:00:00.049000+00:00,-0.0000021318,-0.0005170544
1777626000046,2026-05-01T09:00:00.046000+00:00,0.0000063654,-0.0004490772
1777629600063,2026-05-01T10:00:00.063000+00:00,0.0000001988,-0.0004984094
1777633200046,2026-05-01T11:00:00.046000+00:00,-0.0000140996,-0.0006127968
1777636800012,2026-05-01T12:00:00.012000+00:00,-0.0000298363,-0.0007386906
1777640400028,2026-05-01T13:00:00.028000+00:00,-0.0000501318,-0.0009010547
1777644000051,2026-05-01T14:00:00.051000+00:00,-0.0000308813,-0.0007470503
1777647600002,2026-05-01T15:00:00.002000+00:00,-0.0000508984,-0.0009071875
1777651200055,2026-05-01T16:00:00.055000+00:00,-0.0000403358,-0.0008226864
1777654800055,2026-05-01T17:00:00.055000+00:00,-0.0000282246,-0.0007257969
1777658400043,2026-05-01T18:00:00.043000+00:00,-0.0000041638,-0.0005333102
1777662000031,2026-05-01T19:00:00.031000+00:00,-0.0000078783,-0.0005630264
1777665600011,2026-05-01T20:00:00.011000+00:00,-0.000015753,-0.0006260243
1777669200059,2026-05-01T21:00:00.059000+00:00,-0.0000274925,-0.00071994
1777672800054,2026-05-01T22:00:00.054000+00:00,-0.0000216938,-0.0006735501
1777676400002,2026-05-01T23:00:00.002000+00:00,-0.0000262612,-0.0007100897
1777680000010,2026-05-02T00:00:00.010000+00:00,-0.0000132042,-0.0006056337
1777683600070,2026-05-02T01:00:00.070000+00:00,-0.0000104669,-0.0005837353
1777687200056,2026-05-02T02:00:00.056000+00:00,-0.0000020921,-0.0005167364
1777690800038,2026-05-02T03:00:00.038000+00:00,0.0000012782,-0.0004897745
1777694400019,2026-05-02T04:00:00.019000+00:00,-0.0000121909,-0.000597527
1777698000004,2026-05-02T05:00:00.004000+00:00,-0.0000133969,-0.000607175
1777701600040,2026-05-02T06:00:00.040000+00:00,-0.0000136119,-0.000608895
1777705200044,2026-05-02T07:00:00.044000+00:00,0.0000119723,-0.0004042216
1777708800031,2026-05-02T08:00:00.031000+00:00,0.000010393,-0.0004168561
1777712400002,2026-05-02T09:00:00.002000+00:00,-0.0000127324,-0.0006018592
1777716000010,2026-05-02T10:00:00.010000+00:00,-0.0000013606,-0.0005108847
1777719600041,2026-05-02T11:00:00.041000+00:00,0.00000051,-0.00049592
1777723200048,2026-05-02T12:00:00.048000+00:00,0.0000004461,-0.000496431
1777726800017,2026-05-02T13:00:00.017000+00:00,-0.0000055315,-0.0005442523
1777730400025,2026-05-02T14:00:00.025000+00:00,-0.0000039943,-0.0005319543
1777734000021,2026-05-02T15:00:00.021000+00:00,0.0000073476,-0.0004412191
1777737600033,2026-05-02T16:00:00.033000+00:00,0.000007538,-0.0004396958
1777741200048,2026-05-02T17:00:00.048000+00:00,0.0000124886,-0.0004000912
1777744800025,2026-05-02T18:00:00.025000+00:00,0.0000002934,-0.000497653
1777748400038,2026-05-02T19:00:00.038000+00:00,-0.0000029938,-0.0005239504
1777752000064,2026-05-02T20:00:00.064000+00:00,-0.0000080734,-0.0005645871
1777755600020,2026-05-02T21:00:00.020000+00:00,-0.0000222945,-0.0006783561
1777759200000,2026-05-02T22:00:00+00:00,0.0000017422,-0.0004860627
1777762800067,2026-05-02T23:00:00.067000+00:00,0.0000020357,-0.0004837147
1777766400049,2026-05-03T00:00:00.049000+00:00,-0.000009315,-0.0005745199
1777770000025,2026-05-03T01:00:00.025000+00:00,-0.0000092861,-0.0005742884
1777773600016,2026-05-03T02:00:00.016000+00:00,-0.0000040464,-0.0005323709
1777777200053,2026-05-03T03:00:00.053000+00:00,-0.00000266,-0.0005212801
1777780800034,2026-05-03T04:00:00.034000+00:00,-0.0000070224,-0.000556179
1777784400010,2026-05-03T05:00:00.010000+00:00,-0.0000020689,-0.0005165512
1777788000024,2026-05-03T06:00:00.024000+00:00,-0.0000281248,-0.0007249987
1777791600004,2026-05-03T07:00:00.004000+00:00,-0.0000069638,-0.0005557102
1777795200037,2026-05-03T08:00:00.037000+00:00,-0.000003945,-0.0005315602
1777798800018,2026-05-03T09:00:00.018000+00:00,-0.0000143826,-0.0006150612
1777802400038,2026-05-03T10:00:00.038000+00:00,-0.0000016694,-0.0005133554
