time_ms,iso_utc,funding_rate_hourly,premium
1777593600045,2026-05-01T00:00:00.045000+00:00,-0.0000086543,-0.0005692341
1777597200040,2026-05-01T01:00:00.040000+00:00,-0.0000085919,-0.0005687349
1777600800073,2026-05-01T02:00:00.073000+00:00,-0.0000065515,-0.0005524122
1777604400003,2026-05-01T03:00:00.003000+00:00,-0.0000122214,-0.0005977711
1777608000097,2026-05-01T04:00:00.097000+00:00,-0.0000106129,-0.0005849034
1777611600029,2026-05-01T05:00:00.029000+00:00,-0.0000085227,-0.0005681815
1777615200052,2026-05-01T06:00:00.052000+00:00,-0.0000000715,-0.0005005717
1777618800028,2026-05-01T07:00:00.028000+00:00,-0.0000044707,-0.0005357652
1777622400049,2026-05-01T08:00:00.049000+00:00,0.0000005068,-0.0004959455
1777626000046,2026-05-01T09:00:00.046000+00:00,0.0000013802,-0.0004889584
1777629600063,2026-05-01T10:00:00.063000+00:00,-0.0000057948,-0.0005463581
1777633200046,2026-05-01T11:00:00.046000+00:00,-0.0000038601,-0.0005308807
1777636800012,2026-05-01T12:00:00.012000+00:00,0.0000024091,-0.0004807269
1777640400028,2026-05-01T13:00:00.028000+00:00,0.0000026167,-0.000479066
1777644000051,2026-05-01T14:00:00.051000+00:00,-0.0000054708,-0.0005437668
1777647600002,2026-05-01T15:00:00.002000+00:00,-0.0000022769,-0.0005182154
1777651200055,2026-05-01T16:00:00.055000+00:00,-0.000007963,-0.0005637042
1777654800055,2026-05-01T17:00:00.055000+00:00,-0.0000124216,-0.0005993729
1777658400043,2026-05-01T18:00:00.043000+00:00,-0.000009082,-0.0005726562
1777662000031,2026-05-01T19:00:00.031000+00:00,-0.0000094825,-0.0005758598
1777665600011,2026-05-01T20:00:00.011000+00:00,-0.0000075953,-0.0005607621
1777669200059,2026-05-01T21:00:00.059000+00:00,-0.0000121606,-0.0005972849
1777672800054,2026-05-01T22:00:00.054000+00:00,-0.0000140194,-0.0006121551
1777676400002,2026-05-01T23:00:00.002000+00:00,-0.0000162659,-0.0006301271
1777680000010,2026-05-02T00:00:00.010000+00:00,-0.0000127207,-0.0006017658
1777683600070,2026-05-02T01:00:00.070000+00:00,-0.0000072342,-0.0005578739
1777687200056,2026-05-02T02:00:00.056000+00:00,-0.0000056858,-0.0005454862
1777690800038,2026-05-02T03:00:00.038000+00:00,-0.0000070227,-0.0005561815
1777694400019,2026-05-02T04:00:00.019000+00:00,-0.0000019129,-0.0005153029
1777698000004,2026-05-02T05:00:00.004000+00:00,-0.0000035117,-0.0005280934
