time_ms,iso_utc,funding_rate_hourly,premium
1777593600045,2026-05-01T00:00:00.045000+00:00,0.0000125,-0.0003627772
1777597200040,2026-05-01T01:00:00.040000+00:00,0.0000125,-0.000289574
1777600800073,2026-05-01T02:00:00.073000+00:00,0.0000125,-0.0003455529
1777604400003,2026-05-01T03:00:00.003000+00:00,0.0000125,-0.0003826869
1777608000097,2026-05-01T04:00:00.097000+00:00,0.0000125,-0.00030718
1777611600029,2026-05-01T05:00:00.029000+00:00,0.0000125,-0.0002911933
1777615200052,2026-05-01T06:00:00.052000+00:00,0.0000125,-0.0002489114
1777618800028,2026-05-01T07:00:00.028000+00:00,0.0000125,-0.0002329208
1777622400049,2026-05-01T08:00:00.049000+00:00,0.0000125,-0.0003466781
1777626000046,2026-05-01T09:00:00.046000+00:00,0.0000125,-0.0002767214
1777629600063,2026-05-01T10:00:00.063000+00:00,0.0000125,-0.0002119646
1777633200046,2026-05-01T11:00:00.046000+00:00,0.0000125,-0.0003373664
1777636800012,2026-05-01T12:00:00.012000+00:00,0.0000125,-0.000354214
1777640400028,2026-05-01T13:00:00.028000+00:00,0.0000125,-0.0000977237
1777644000051,2026-05-01T14:00:00.051000+00:00,0.0000125,-0.0000876863
1777647600002,2026-05-01T15:00:00.002000+00:00,0.0000125,-0.000144116
1777651200055,2026-05-01T16:00:00.055000+00:00,0.0000125,-0.000248192
1777654800055,2026-05-01T17:00:00.055000+00:00,0.0000125,-0.0002447376
1777658400043,2026-05-01T18:00:00.043000+00:00,0.0000125,-0.0001757116
1777662000031,2026-05-01T19:00:00.031000+00:00,0.0000125,-0.0002479587
1777665600011,2026-05-01T20:00:00.011000+00:00,0.0000125,-0.000304116
1777669200059,2026-05-01T21:00:00.059000+00:00,0.0000125,-0.0002793497
1777672800054,2026-05-01T22:00:00.054000+00:00,0.0000125,-0.0001852915
1777676400002,2026-05-01T23:00:00.002000+00:00,0.0000125,-0.0002884649
1777680000010,2026-05-02T00:00:00.010000+00:00,0.0000125,-0.0003325796
1777683600070,2026-05-02T01:00:00.070000+00:00,0.0000125,-0.0003908703
1777687200056,2026-05-02T02:00:00.056000+00:00,0.0000023989,-0.0004808085
1777690800038,2026-05-02T03:00:00.038000+00:00,0.0000121623,-0.0004027013
1777694400019,2026-05-02T04:00:00.019000+00:00,0.0000125,-0.0003099993
1777698000004,2026-05-02T05:00:00.004000+00:00,0.0000125,-0.0003096034
1777701600040,2026-05-02T06:00:00.040000+00:00,0.0000125,-0.0001672489
1777705200044,2026-05-02T07:00:00.044000+00:00,0.0000125,-0.00019344
1777708800031,2026-05-02T08:00:00.031000+00:00,0.0000125,-0.0001156371
1777712400002,2026-05-02T09:00:00.002000+00:00,0.0000125,-0.0002380029
1777716000010,2026-05-02T10:00:00.010000+00:00,0.0000125,-0.000345104
1777719600041,2026-05-02T11:00:00.041000+00:00,0.0000125,-0.0003138653
1777723200048,2026-05-02T12:00:00.048000+00:00,0.0000092855,-0.0004257158
1777726800017,2026-05-02T13:00:00.017000+00:00,0.0000039064,-0.0004687488
1777730400025,2026-05-02T14:00:00.025000+00:00,-0.0000001966,-0.000501573
1777734000021,2026-05-02T15:00:00.021000+00:00,0.0000125,-0.0003838211
1777737600033,2026-05-02T16:00:00.033000+00:00,0.0000125,-0.0001987236
1777741200048,2026-05-02T17:00:00.048000+00:00,0.0000125,-0.0000677063
1777744800025,2026-05-02T18:00:00.025000+00:00,0.0000125,-0.0000624591
1777748400038,2026-05-02T19:00:00.038000+00:00,0.0000125,-0.0000055624
1777752000064,2026-05-02T20:00:00.064000+00:00,0.0000125,0.0000525036
1777755600020,2026-05-02T21:00:00.020000+00:00,0.0000125,-0.0000175228
1777759200000,2026-05-02T22:00:00+00:00,0.0000125,0.0000396612
1777762800067,2026-05-02T23:00:00.067000+00:00,0.0000125,0.0001784465
1777766400049,2026-05-03T00:00:00.049000+00:00,0.0000125,0.0002011179
1777770000025,2026-05-03T01:00:00.025000+00:00,0.0000125,0.0001609664
1777773600016,2026-05-03T02:00:00.016000+00:00,0.0000125,-0.0000093698
1777777200053,2026-05-03T03:00:00.053000+00:00,0.0000125,-0.0000807924
1777780800034,2026-05-03T04:00:00.034000+00:00,0.0000125,-0.0001348467
1777784400010,2026-05-03T05:00:00.010000+00:00,0.0000125,-0.0002727871
1777788000024,2026-05-03T06:00:00.024000+00:00,0.0000125,-0.0002826404
1777791600004,2026-05-03T07:00:00.004000+00:00,0.0000125,-0.0003636149
1777795200037,2026-05-03T08:00:00.037000+00:00,0.0000125,-0.0001968395
1777798800018,2026-05-03T09:00:00.018000+00:00,0.0000125,-0.0001558046
1777802400038,2026-05-03T10:00:00.038000+00:00,0.0000125,-0.0001446507
1777806000052,2026-05-03T11:00:00.052000+00:00,0.0000125,-0.0002419427
1777809600047,2026-05-03T12:00:00.047000+00:00,0.0000125,-0.0001474396
1777813200005,2026-05-03T13:00:00.005000+00:00,0.0000125,-0.0000314424
1777816800027,2026-05-03T14:00:00.027000+00:00,0.0000125,-0.000022588
1777820400059,2026-05-03T15:00:00.059000+00:00,0.0000125,-0.0000348026
