arm,half_width_ticks,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,full,2855.9766666666665,-833.4547014995389,-7.003878242231998,1836.320465247941,-2063.6989911371265,-32.297193485716924,-1760.7151915123932,521.9487191052987,-302.9837996553058,32.362013738327846,587144.5071210187,866755.1777018381,1774,1776,32211759.368848503,12331151.29953901,164016,5915933.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-05,743.9944444444444,-278.4250725555092,-8.98152101971938,389.06176294263616,-516.3517491591408,-28.287592864607507,-528.6710325711509,130.67855054265198,12.319283400809343,7.989296079753028,143376.1686739153,217459.7663291018,438,439,6224485.122165576,2453673.8623477453,31872,1448529.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-06,720.0,287.17973968956267,9.57265798965209,864.0151810604895,-427.8787962250035,-4.280935990720036,-657.0383890678081,126.97063099914402,229.15959284039153,6.195327122126479,142043.0507383702,210923.65082278175,431,431,11992491.539017271,5601430.505773621,53517,1549161.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-07,744.0,-231.09326552819203,-7.454621468651356,259.7603129207197,-349.6404962202758,9.29775098068295,-201.5919442495782,121.7351176629414,-148.04855198363984,8.550846910553357,141274.25132714523,201342.11767786872,424,424,4648206.247164238,2007064.4025048385,29413,1333013.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-08,647.9822222222223,-611.1161031054031,-22.634550719972953,323.4832083240959,-769.8279495327051,-9.02641561107236,-373.4138256238591,142.56441990056035,-396.4141239128676,9.626543625894787,160451.03638158686,237029.6428720863,481,482,9346576.46050144,2268982.5289127994,49214,1585230.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,full,2855.9766666666665,-914.166873457634,-7.682137329430756,1836.320465247941,-2063.6989911371265,-32.297193485716924,-1760.7151915123932,521.9487191052987,-302.9837996553058,32.362013738327846,587144.5071210187,866755.1777018381,1774,1776,32211759.368848503,12331151.29953901,164016,5915933.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-05,743.9944444444444,-298.13436360797016,-9.617309349580202,389.06176294263616,-516.3517491591408,-28.287592864607507,-528.6710325711509,130.67855054265198,12.319283400809343,7.989296079753028,143376.1686739153,217459.7663291018,438,439,6224485.122165576,2453673.8623477453,31872,1448529.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-06,720.0,267.6537064939822,8.921790216466073,864.0151810604895,-427.8787962250035,-4.280935990720036,-657.0383890678081,126.97063099914402,229.15959284039153,6.195327122126479,142043.0507383702,210923.65082278175,431,431,11992491.539017271,5601430.505773621,53517,1549161.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-07,744.0,-250.51361525142883,-8.081084362949317,259.7603129207197,-349.6404962202758,9.29775098068295,-201.5919442495782,121.7351176629414,-148.04855198363984,8.550846910553357,141274.25132714523,201342.11767786872,424,424,4648206.247164238,2007064.4025048385,29413,1333013.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-08,647.9822222222223,-633.1726010922198,-23.451480465156703,323.4832083240959,-769.8279495327051,-9.02641561107236,-373.4138256238591,142.56441990056035,-396.4141239128676,9.626543625894787,160451.03638158686,237029.6428720863,481,482,9346576.46050144,2268982.5289127994,49214,1585230.0
