arm,half_width_ticks,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,full,2855.9938888888887,-1708.4552856563782,-14.356797826239424,3089.444576612596,-4119.242617386807,-6.780701413529414,-4126.023318800327,614.1173903800864,6.780701404027083,5.749085792449638,354278.93288829573,1017556.1326480812,2115,2117,5444641880.183741,1170706931.2176876,3434112,8298343.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-05,744.0,-395.83725594091004,-12.768943740029355,625.09839333019,-855.4215288121018,-65.62091831682494,-921.0424471289267,149.7684333399048,65.62091831328945,1.6460351233254507,87659.89031695302,247185.25963124112,527,528,1615429181.1797898,407444282.05341876,575630,2063679.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-06,720.0,-703.2126474013851,-23.44042158004617,1068.1423469610174,-1575.5895828248144,-42.124531168309886,-1617.7141139931239,176.36550232140513,42.124531170807664,0.601770677485424,100814.91883148513,293608.0956768284,591,591,1514795040.4949272,258615411.55156678,1405733,2317061.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-07,744.0,-330.3753547159684,-10.657269506966722,806.6804038080337,-957.4051486324598,26.784320559724847,-930.6338615671232,163.4157982943629,-26.77585266937555,2.0186927933247008,91980.53823823179,271114.4079425078,559,559,1169109690.4139373,269363420.03351635,783034,2207559.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-08,647.9938888888889,-279.03002759812085,-10.33454292885034,589.5234325133505,-730.8263571174232,74.18042751188057,-656.6328961111544,124.56765642441376,-74.18889541069464,1.4825871983140624,73823.58550162564,205648.36939750524,438,439,1145307968.0950816,235283817.57918736,669715,1710044.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,full,2855.9938888888887,-1757.1564517332276,-14.766052198383447,3089.444576612596,-4119.242617386807,-6.780701413529414,-4126.023318800327,614.1173903800864,6.780701404027083,5.749085792449638,354278.93288829573,1017556.1326480812,2115,2117,5444641880.183741,1170706931.2176876,3434112,8298343.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-05,744.0,-407.8874753592642,-13.157660495460137,625.09839333019,-855.4215288121018,-65.62091831682494,-921.0424471289267,149.7684333399048,65.62091831328945,1.6460351233254507,87659.89031695302,247185.25963124112,527,528,1615429181.1797898,407444282.05341876,575630,2063679.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-06,720.0,-717.0712307075064,-23.90237435691688,1068.1423469610174,-1575.5895828248144,-42.124531168309886,-1617.7141139931239,176.36550232140513,42.124531170807664,0.601770677485424,100814.91883148513,293608.0956768284,591,591,1514795040.4949272,258615411.55156678,1405733,2317061.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-07,744.0,-343.01951459320986,-11.065145632039028,806.6804038080337,-957.4051486324598,26.784320559724847,-930.6338615671232,163.4157982943629,-26.77585266937555,2.0186927933247008,91980.53823823179,271114.4079425078,559,559,1169109690.4139373,269363420.03351635,783034,2207559.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-08,647.9938888888889,-289.17823107325313,-10.710405861478918,589.5234325133505,-730.8263571174232,74.18042751188057,-656.6328961111544,124.56765642441376,-74.18889541069464,1.4825871983140624,73823.58550162564,205648.36939750524,438,439,1145307968.0950816,235283817.57918736,669715,1710044.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,full,2855.9938888888887,-1932.9264175344024,-16.243113895062837,3089.444576612596,-4119.242617386807,-6.780701413529414,-4126.023318800327,614.1173903800864,6.780701404027083,5.749085792449638,354278.93288829573,1017556.1326480812,2115,2117,5444641880.183741,1170706931.2176876,3434112,8298343.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,2026-05,744.0,-451.3785624457315,-14.560598788571985,625.09839333019,-855.4215288121018,-65.62091831682494,-921.0424471289267,149.7684333399048,65.62091831328945,1.6460351233254507,87659.89031695302,247185.25963124112,527,528,1615429181.1797898,407444282.05341876,575630,2063679.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,2026-06,720.0,-767.088979973014,-25.569632665767134,1068.1423469610174,-1575.5895828248144,-42.124531168309886,-1617.7141139931239,176.36550232140513,42.124531170807664,0.601770677485424,100814.91883148513,293608.0956768284,591,591,1514795040.4949272,258615411.55156678,1405733,2317061.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,2026-07,744.0,-388.654223743712,-12.53723302399071,806.6804038080337,-957.4051486324598,26.784320559724847,-930.6338615671232,163.4157982943629,-26.77585266937555,2.0186927933247008,91980.53823823179,271114.4079425078,559,559,1169109690.4139373,269363420.03351635,783034,2207559.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,2026-08,647.9938888888889,-325.80465137195085,-12.066952739839175,589.5234325133505,-730.8263571174232,74.18042751188057,-656.6328961111544,124.56765642441376,-74.18889541069464,1.4825871983140624,73823.58550162564,205648.36939750524,438,439,1145307968.0950816,235283817.57918736,669715,1710044.0
arm_0.2pct,20.0,0.0020019011404843745,optimistic,1.984,full,2855.9938888888887,-1414.5446402413063,-11.886955184977332,2704.820129591491,-3639.3788518894803,47.68230358280857,-3591.696548306666,462.6066516344121,-47.68230358411718,8.982280044249999,132870.6973379641,769946.3892035172,1551,1553,5444641880.183741,2013670535.0681121,3434112,6379534.0
arm_0.2pct,20.0,0.0020019011404843745,optimistic,1.984,2026-05,744.0,-323.84687443920626,-10.446673369006653,525.862027898139,-740.1743758622877,-44.824739620111245,-784.8719193594544,105.97282214646253,44.66889304872953,2.4824243567918236,30319.950791076993,176265.64334910284,356,357,1612945302.6644208,686110827.7272648,574430,1467326.0
arm_0.2pct,20.0,0.0020019011404843745,optimistic,1.984,2026-06,720.0,-552.9113887657871,-18.43037962552624,972.6738247105782,-1379.7000622514347,-87.99287979702297,-1469.2352622492717,138.41186609024794,88.95609585913473,1.0059200991506423,39819.05793916857,230819.4861110531,459,459,1516873603.7802618,464356903.215536,1406425,1944483.0
arm_0.2pct,20.0,0.0020019011404843745,optimistic,1.984,2026-07,744.0,-274.66797379614314,-8.860257219230425,695.766518870129,-842.0484197927174,58.39040005676543,-782.2834506051328,125.07300450117684,-59.15949775339809,3.1263047205558774,35508.28894717867,208145.53734466896,420,420,1169515005.6439712,460231193.8512945,783542,1705596.0
arm_0.2pct,20.0,0.0020019011404843745,optimistic,1.984,2026-08,647.9938888888889,-263.1184032401682,-9.745217950422429,510.51775811265117,-677.4559939830364,122.10952294317735,-555.3059160928117,93.14895889652497,-122.14779473858327,2.3676308677516604,27223.39966053985,154715.7223986905,316,317,1145307968.0950816,402971610.274018,669715,1262129.0
arm_0.2pct,20.0,0.0020019011404843745,central,3.3586560000000003,full,2855.9938888888887,-1432.809790373288,-12.040444169975864,2704.820129591491,-3639.3788518894803,47.68230358280857,-3591.696548306666,462.6066516344121,-47.68230358411718,8.982280044249999,132870.6973379641,769946.3892035172,1551,1553,5444641880.183741,2013670535.0681121,3434112,6379534.0
arm_0.2pct,20.0,0.0020019011404843745,central,3.3586560000000003,2026-05,744.0,-328.01482466667215,-10.581123376344262,525.862027898139,-740.1743758622877,-44.824739620111245,-784.8719193594544,105.97282214646253,44.66889304872953,2.4824243567918236,30319.950791076993,176265.64334910284,356,357,1612945302.6644208,686110827.7272648,574430,1467326.0
arm_0.2pct,20.0,0.0020019011404843745,central,3.3586560000000003,2026-06,720.0,-558.3851394568297,-18.612837981894323,972.6738247105782,-1379.7000622514347,-87.99287979702297,-1469.2352622492717,138.41186609024794,88.95609585913473,1.0059200991506423,39819.05793916857,230819.4861110531,459,459,1516873603.7802618,464356903.215536,1406425,1944483.0
arm_0.2pct,20.0,0.0020019011404843745,central,3.3586560000000003,2026-07,744.0,-279.54914204124043,-9.017714259394852,695.766518870129,-842.0484197927174,58.39040005676543,-782.2834506051328,125.07300450117684,-59.15949775339809,3.1263047205558774,35508.28894717867,208145.53734466896,420,420,1169515005.6439712,460231193.8512945,783542,1705596.0
arm_0.2pct,20.0,0.0020019011404843745,central,3.3586560000000003,2026-08,647.9938888888889,-266.8606842085441,-9.88382225639054,510.51775811265117,-677.4559939830364,122.10952294317735,-555.3059160928117,93.14895889652497,-122.14779473858327,2.3676308677516604,27223.39966053985,154715.7223986905,316,317,1145307968.0950816,402971610.274018,669715,1262129.0
arm_0.2pct,20.0,0.0020019011404843745,pessimistic,8.32,full,2855.9938888888887,-1498.7315140746405,-12.594409420037366,2704.820129591491,-3639.3788518894803,47.68230358280857,-3591.696548306666,462.6066516344121,-47.68230358411718,8.982280044249999,132870.6973379641,769946.3892035172,1551,1553,5444641880.183741,2013670535.0681121,3434112,6379534.0
arm_0.2pct,20.0,0.0020019011404843745,pessimistic,8.32,2026-05,744.0,-343.05759526043266,-11.066374040659118,525.862027898139,-740.1743758622877,-44.824739620111245,-784.8719193594544,105.97282214646253,44.66889304872953,2.4824243567918236,30319.950791076993,176265.64334910284,356,357,1612945302.6644208,686110827.7272648,574430,1467326.0
arm_0.2pct,20.0,0.0020019011404843745,pessimistic,8.32,2026-06,720.0,-578.1407438760443,-19.271358129201477,972.6738247105782,-1379.7000622514347,-87.99287979702297,-1469.2352622492717,138.41186609024794,88.95609585913473,1.0059200991506423,39819.05793916857,230819.4861110531,459,459,1516873603.7802618,464356903.215536,1406425,1944483.0
arm_0.2pct,20.0,0.0020019011404843745,pessimistic,8.32,2026-07,744.0,-297.1660256730756,-9.586000828163728,695.766518870129,-842.0484197927174,58.39040005676543,-782.2834506051328,125.07300450117684,-59.15949775339809,3.1263047205558774,35508.28894717867,208145.53734466896,420,420,1169515005.6439712,460231193.8512945,783542,1705596.0
arm_0.2pct,20.0,0.0020019011404843745,pessimistic,8.32,2026-08,647.9938888888889,-280.36714926508625,-10.384066420595294,510.51775811265117,-677.4559939830364,122.10952294317735,-555.3059160928117,93.14895889652497,-122.14779473858327,2.3676308677516604,27223.39966053985,154715.7223986905,316,317,1145307968.0950816,402971610.274018,669715,1262129.0
arm_0.5pct,50.0,0.005012269623050569,optimistic,1.984,full,2855.9938888888887,-868.3054854375325,-7.29670036465247,1876.3254305809653,-2534.540918281624,79.14799876520385,-2455.392919516422,215.74719209136205,-79.14799876570629,10.744893019163102,25643.642460537158,359702.4017291213,715,717,5444641880.183741,3363892731.784617,3434112,3178536.0
arm_0.5pct,50.0,0.005012269623050569,optimistic,1.984,2026-05,744.0,-189.21535961912204,-6.103721278036195,337.3067472932922,-480.6566459084951,-51.291424751433055,-531.1138200566995,47.35417373166262,50.1068593903841,2.9588118284587313,5644.074308945987,79136.23420303121,154,155,1612945302.6644208,1092359156.0735745,574430,630764.0
