arm,half_width_ticks,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,optimistic,1.984,full,2854.7369444444444,-658.9259193614043,-5.539642486306661,1783.8797023200277,-2244.643395500878,170.76691736284295,-2073.8764781380323,184.82840675772061,-170.76691736230228,7.48633523144708,104940.29563923409,307687.1886667716,618,620,142503450.52514195,85162468.45206082,306853,1125233.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,optimistic,1.984,2026-05,743.7172222222222,-155.75605674629983,-5.026299311372194,314.08091574764967,-424.9530507659282,-47.01337355533394,-471.7902066732462,41.94001955819384,46.66011664031558,2.0791985097473127,24425.712764981563,70275.37256681634,134,135,29974208.52095301,20505440.49935611,50445,189337.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,optimistic,1.984,2026-06,720.0,-366.56751586877164,-12.218917195625721,717.5172076170624,-1010.8784966458537,23.160351976612674,-988.1340334910944,66.3943711250168,-22.580693813609052,0.6393173511140957,38381.76616546247,110571.39306501797,222,222,48448650.95386911,27576761.804287054,128113,499323.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,optimistic,1.984,2026-07,744.0,-53.932529482042256,-1.7397590155497502,427.9066313494707,-436.491486520585,74.89135052812287,-363.56336103068304,42.734933662757136,-73.71091046565107,2.562703698725259,22140.42021747452,70750.18751262294,148,148,36676986.878190026,21373344.326767985,71466,238477.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,optimistic,1.984,2026-08,647.0197222222222,-82.66981726429162,-3.066483982170729,324.3749476058429,-372.3203615685071,119.72858841344134,-250.3888769430074,33.759082411752786,-121.13542972335777,2.205115671860415,19992.396491315514,56090.23552231386,114,115,27403604.172129985,15706921.821649607,56829,198096.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,central,3.3586560000000003,full,2854.7369444444444,-673.3516000656291,-5.660920328587422,1783.8797023200277,-2244.643395500878,170.76691736284295,-2073.8764781380323,184.82840675772061,-170.76691736230228,7.48633523144708,104940.29563923409,307687.1886667716,618,620,142503450.52514195,85162468.45206082,306853,1125233.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,central,3.3586560000000003,2026-05,743.7172222222222,-159.11375200696568,-5.134653244625472,314.08091574764967,-424.9530507659282,-47.01337355533394,-471.7902066732462,41.94001955819384,46.66011664031558,2.0791985097473127,24425.712764981563,70275.37256681634,134,135,29974208.52095301,20505440.49935611,50445,189337.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,central,3.3586560000000003,2026-06,720.0,-371.8436883837666,-12.39478961279222,717.5172076170624,-1010.8784966458537,23.160351976612674,-988.1340334910944,66.3943711250168,-22.580693813609052,0.6393173511140957,38381.76616546247,110571.39306501797,222,222,48448650.95386911,27576761.804287054,128113,499323.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,central,3.3586560000000003,2026-07,744.0,-56.97607563148952,-1.8379379235964362,427.9066313494707,-436.491486520585,74.89135052812287,-363.56336103068304,42.734933662757136,-73.71091046565107,2.562703698725259,22140.42021747452,70750.18751262294,148,148,36676986.878190026,21373344.326767985,71466,238477.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,central,3.3586560000000003,2026-08,647.0197222222222,-85.41808404340821,-3.168425855707846,324.3749476058429,-372.3203615685071,119.72858841344134,-250.3888769430074,33.759082411752786,-121.13542972335777,2.205115671860415,19992.396491315514,56090.23552231386,114,115,27403604.172129985,15706921.821649607,56829,198096.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,pessimistic,8.32,full,2854.7369444444444,-725.4160906784231,-6.0986306322070885,1783.8797023200277,-2244.643395500878,170.76691736284295,-2073.8764781380323,184.82840675772061,-170.76691736230228,7.48633523144708,104940.29563923409,307687.1886667716,618,620,142503450.52514195,85162468.45206082,306853,1125233.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,pessimistic,8.32,2026-05,743.7172222222222,-171.23218835419215,-5.525719181574464,314.08091574764967,-424.9530507659282,-47.01337355533394,-471.7902066732462,41.94001955819384,46.66011664031558,2.0791985097473127,24425.712764981563,70275.37256681634,134,135,29974208.52095301,20505440.49935611,50445,189337.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,pessimistic,8.32,2026-06,720.0,-390.8862029112086,-13.029540097040288,717.5172076170624,-1010.8784966458537,23.160351976612674,-988.1340334910944,66.3943711250168,-22.580693813609052,0.6393173511140957,38381.76616546247,110571.39306501797,222,222,48448650.95386911,27576761.804287054,128113,499323.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,pessimistic,8.32,2026-07,744.0,-67.96069973183411,-2.1922806365107776,427.9066313494707,-436.491486520585,74.89135052812287,-363.56336103068304,42.734933662757136,-73.71091046565107,2.562703698725259,22140.42021747452,70750.18751262294,148,148,36676986.878190026,21373344.326767985,71466,238477.0
arm_0.1pct_0.2pct_0.5pct,60.0,0.006017734268817465,pessimistic,8.32,2026-08,647.0197222222222,-95.33699968118914,-3.536349687286169,324.3749476058429,-372.3203615685071,119.72858841344134,-250.3888769430074,33.759082411752786,-121.13542972335777,2.205115671860415,19992.396491315514,56090.23552231386,114,115,27403604.172129985,15706921.821649607,56829,198096.0
arm_2pct,180.0,0.01816206010461041,optimistic,1.984,full,2854.7369444444444,-254.69020967502723,-2.141200801039204,885.7351070264099,-1103.8216208272731,82.66550599250922,-1021.1561148347641,44.991774957045976,-82.66550599241855,10.221419511372101,9240.627160184236,75171.06102239761,146,148,142503450.52514195,122599600.95605938,306853,274775.0
arm_2pct,180.0,0.01816206010461041,optimistic,1.984,2026-05,743.7172222222222,-62.055941097072555,-2.0025656819934805,142.5652023755665,-197.69032995699138,-47.584515848801516,-245.37903199751202,9.396398890454497,47.688098077395495,2.868098570386642,2025.752179711175,15764.944501366634,29,30,29974208.52095301,27304373.908476356,50445,53215.0
arm_2pct,180.0,0.01816206010461041,optimistic,1.984,2026-06,720.0,-137.0247376625121,-4.56749125541707,367.8642375133906,-485.2406329313221,-93.4991151971492,-575.665412980426,18.68577090369425,88.97364711465187,1.2114866472131407,3643.775472013405,31240.17828068721,61,61,48448650.95386911,41704482.98748759,128113,125430.0
arm_2pct,180.0,0.01816206010461041,optimistic,1.984,2026-07,744.0,12.97106800087164,0.4184215484152142,215.13692469844543,-195.12953235228588,81.93007990636806,-123.65189207816229,8.97373621822994,-72.71796345896742,3.5128435761498014,1689.0550320762873,14945.03631082433,30,30,36676986.878190026,31275891.575949144,71466,50478.0
arm_2pct,180.0,0.01816206010461041,optimistic,1.984,2026-08,647.0197222222222,-68.58059891631389,-2.543870484099755,160.16874243900742,-225.76112558667387,141.81905713209187,-76.45977777866369,7.935868944667276,-146.6092877254984,2.62899071762253,1882.0444763833705,13220.901929519445,26,27,27403604.172129985,22314852.48414624,56829,45652.0
arm_2pct,180.0,0.01816206010461041,central,3.3586560000000003,full,2854.7369444444444,-255.96047803197825,-2.1518800479050677,885.7351070264099,-1103.8216208272731,82.66550599250922,-1021.1561148347641,44.991774957045976,-82.66550599241855,10.221419511372101,9240.627160184236,75171.06102239761,146,148,142503450.52514195,122599600.95605938,306853,274775.0
arm_2pct,180.0,0.01816206010461041,central,3.3586560000000003,2026-05,743.7172222222222,-62.33441233590786,-2.0115520406958884,142.5652023755665,-197.69032995699138,-47.584515848801516,-245.37903199751202,9.396398890454497,47.688098077395495,2.868098570386642,2025.752179711175,15764.944501366634,29,30,29974208.52095301,27304373.908476356,50445,53215.0
arm_2pct,180.0,0.01816206010461041,central,3.3586560000000003,2026-06,720.0,-137.5256314440377,-4.584187714801257,367.8642375133906,-485.2406329313221,-93.4991151971492,-575.665412980426,18.68577090369425,88.97364711465187,1.2114866472131407,3643.775472013405,31240.17828068721,61,61,48448650.95386911,41704482.98748759,128113,125430.0
arm_2pct,180.0,0.01816206010461041,central,3.3586560000000003,2026-07,744.0,12.738881037454252,0.41093164636949203,215.13692469844543,-195.12953235228588,81.93007990636806,-123.65189207816229,8.97373621822994,-72.71796345896742,3.5128435761498014,1689.0550320762873,14945.03631082433,30,30,36676986.878190026,31275891.575949144,71466,50478.0
arm_2pct,180.0,0.01816206010461041,central,3.3586560000000003,2026-08,647.0197222222222,-68.83931528948662,-2.553467089493513,160.16874243900742,-225.76112558667387,141.81905713209187,-76.45977777866369,7.935868944667276,-146.6092877254984,2.62899071762253,1882.0444763833705,13220.901929519445,26,27,27403604.172129985,22314852.48414624,56829,45652.0
arm_2pct,180.0,0.01816206010461041,pessimistic,8.32,full,2854.7369444444444,-260.54507104372,-2.190423085117631,885.7351070264099,-1103.8216208272731,82.66550599250922,-1021.1561148347641,44.991774957045976,-82.66550599241855,10.221419511372101,9240.627160184236,75171.06102239761,146,148,142503450.52514195,122599600.95605938,306853,274775.0
arm_2pct,180.0,0.01816206010461041,pessimistic,8.32,2026-05,743.7172222222222,-63.339457678137556,-2.043985185300822,142.5652023755665,-197.69032995699138,-47.584515848801516,-245.37903199751202,9.396398890454497,47.688098077395495,2.868098570386642,2025.752179711175,15764.944501366634,29,30,29974208.52095301,27304373.908476356,50445,53215.0
arm_2pct,180.0,0.01816206010461041,pessimistic,8.32,2026-06,720.0,-139.33343380157982,-4.644447793385994,367.8642375133906,-485.2406329313221,-93.4991151971492,-575.665412980426,18.68577090369425,88.97364711465187,1.2114866472131407,3643.775472013405,31240.17828068721,61,61,48448650.95386911,41704482.98748759,128113,125430.0
arm_2pct,180.0,0.01816206010461041,pessimistic,8.32,2026-07,744.0,11.900882732548103,0.38389944298542267,215.13692469844543,-195.12953235228588,81.93007990636806,-123.65189207816229,8.97373621822994,-72.71796345896742,3.5128435761498014,1689.0550320762873,14945.03631082433,30,30,36676986.878190026,31275891.575949144,71466,50478.0
arm_2pct,180.0,0.01816206010461041,pessimistic,8.32,2026-08,647.0197222222222,-69.77306229655039,-2.588102707852351,160.16874243900742,-225.76112558667387,141.81905713209187,-76.45977777866369,7.935868944667276,-146.6092877254984,2.62899071762253,1882.0444763833705,13220.901929519445,26,27,27403604.172129985,22314852.48414624,56829,45652.0
arm_8.3pct,780.0,0.08111844258099676,optimistic,1.984,full,2854.7369444444444,-46.555910142393756,-0.39139923052871484,241.63769240579046,-295.8136552464215,80.2693658773411,-215.5442893690804,3.7603801014056795,-80.26936587734313,11.669625311442399,1457.623547365966,6270.324154036235,11,13,142503450.52514195,139210974.94551772,306853,37811.0
arm_8.3pct,780.0,0.08111844258099676,optimistic,1.984,2026-05,743.7172222222222,10.844207956722359,0.3499461666138085,36.86282232437031,-25.899809239881733,-41.47360407934457,-83.16515646356197,0.5704792999456372,54.73128964504024,3.0897918533901727,524.496484731654,942.4661492640876,1,2,29974208.52095301,29865559.21319901,50445,1538.0
arm_8.3pct,780.0,0.08111844258099676,optimistic,1.984,2026-06,720.0,-16.495752783344006,-0.5498584261114668,99.16264858011975,-117.96756770958564,-126.76024523144531,-225.9905434929791,1.4289608166683156,110.43435137570063,1.3626353728034186,180.86593911481688,2361.524377630098,5,5,48448650.95386911,47237191.062793,128113,24195.0
arm_8.3pct,780.0,0.08111844258099676,optimistic,1.984,2026-07,744.0,12.123179169630086,0.3910702957945189,61.18974765238519,-52.7532776718449,92.66241573688819,37.72654378089737,0.5994619853393832,-90.36524441104311,4.192096048305687,103.33626802252752,998.6886233547685,2,2,36676986.878190026,36240011.53711806,71466,3967.0
arm_8.3pct,780.0,0.08111844258099676,optimistic,1.984,2026-08,647.0197222222222,-53.02754448540215,-1.9669586937452732,44.42247384891544,-99.19300062510922,155.8407994512428,55.88486680656331,1.1614779994523432,-155.0697624870411,3.0251020369431254,648.9248554969677,1967.6450037872805,3,4,27403604.172129985,25868213.132407833,56829,8111.0
arm_8.3pct,780.0,0.08111844258099676,central,3.3586560000000003,full,2854.7369444444444,-46.756283237906544,-0.3930837830412206,241.63769240579046,-295.8136552464215,80.2693658773411,-215.5442893690804,3.7603801014056795,-80.26936587734313,11.669625311442399,1457.623547365966,6270.324154036235,11,13,142503450.52514195,139210974.94551772,306853,37811.0
arm_8.3pct,780.0,0.08111844258099676,central,3.3586560000000003,2026-05,743.7172222222222,10.77210773275083,0.34761946861137927,36.86282232437031,-25.899809239881733,-41.47360407934457,-83.16515646356197,0.5704792999456372,54.73128964504024,3.0897918533901727,524.496484731654,942.4661492640876,1,2,29974208.52095301,29865559.21319901,50445,1538.0
arm_8.3pct,780.0,0.08111844258099676,central,3.3586560000000003,2026-06,720.0,-16.520615628183986,-0.5506871876061329,99.16264858011975,-117.96756770958564,-126.76024523144531,-225.9905434929791,1.4289608166683156,110.43435137570063,1.3626353728034186,180.86593911481688,2361.524377630098,5,5,48448650.95386911,47237191.062793,128113,24195.0
