block,timestamp,base_fee_wei
49376527,1785542401,5000000
49381527,1785552401,5000000
49386527,1785562401,5000000
49391527,1785572401,5000000
49396527,1785582401,5000000
49401527,1785592401,5000000
49406527,1785602401,5000000
49411527,1785612401,5000000
49416527,1785622401,5000000
49421527,1785632401,5000000
49426527,1785642401,5000000
49431527,1785652401,5000000
49436527,1785662401,5000000
49441527,1785672401,5000000
49446527,1785682401,5000000
49451527,1785692401,5000000
49456527,1785702401,5000000
49461527,1785712401,5000000
49466527,1785722401,5000000
49471527,1785732401,5000000
49476527,1785742401,5000000
49481527,1785752401,5000000
49486527,1785762401,5000000
49491527,1785772401,5000000
49496527,1785782401,5000000
49501527,1785792401,5000000
49506527,1785802401,5000000
49511527,1785812401,5000000
49516527,1785822401,5000000
49521527,1785832401,5000000
49526527,1785842401,5000000
49531527,1785852401,5000000
49536527,1785862401,5000000
49541527,1785872401,5000000
49546527,1785882401,5000000
49551527,1785892401,5000000
49556527,1785902401,5000000
49561527,1785912401,5000000
49566527,1785922401,5000000
49571527,1785932401,5000000
49576527,1785942401,5000000
49581527,1785952401,5000000
49586527,1785962401,5000000
49591527,1785972401,5000000
49596527,1785982401,5000000
49601527,1785992401,5000000
49606527,1786002401,5000000
49611527,1786012401,5000000
49616527,1786022401,5000000
49621527,1786032401,5000000
49626527,1786042401,5000000
49631527,1786052401,5000000
49636527,1786062401,5000000
49641527,1786072401,5000000
49646527,1786082401,5000000
49651527,1786092401,5000000
49656527,1786102401,5000000
49661527,1786112401,5000000
49666527,1786122401,5000000
49671527,1786132401,5000000
49676527,1786142401,5000000
49681527,1786152401,5000000
49686527,1786162401,5000000
49691527,1786172401,5000000
49696527,1786182401,5000000
49701527,1786192401,5000000
49706527,1786202401,5000000
49711527,1786212401,5000000
49716527,1786222401,5000000
49721527,1786232401,5000000
49726527,1786242401,5000000
49731527,1786252401,5000000
49736527,1786262401,5000000
49741527,1786272401,5000000
49746527,1786282401,5000000
49751527,1786292401,5000000
49756527,1786302401,5000000
49761527,1786312401,5000000
49766527,1786322401,5000000
49771527,1786332401,5000000
49776527,1786342401,5000000
49781527,1786352401,5000000
49786527,1786362401,5000000
49791527,1786372401,5000000
49796527,1786382401,5000000
49801527,1786392401,5000000
49806527,1786402401,5000000
49811527,1786412401,5000000
49816527,1786422401,5000000
49821527,1786432401,5000000
49826527,1786442401,5000000
49831527,1786452401,5000000
49836527,1786462401,5000000
49841527,1786472401,5000000
49846527,1786482401,5000000
49851527,1786492401,5000000
49856527,1786502401,5000000
49861527,1786512401,5000000
49866527,1786522401,5000000
49871527,1786532401,5000000
49876527,1786542401,5000000
49881527,1786552401,5000000
49886527,1786562401,5000000
49891527,1786572401,5000000
49896527,1786582401,5000000
49901527,1786592401,5000000
49906527,1786602401,5000000
49911527,1786612401,5000000
49916527,1786622401,5000000
49921527,1786632401,5000000
49926527,1786642401,5000000
49931527,1786652401,5000000
49936527,1786662401,5000000
49941527,1786672401,5000000
49946527,1786682401,5000000
49951527,1786692401,5000000
49956527,1786702401,5000000
49961527,1786712401,5000000
49966527,1786722401,5000000
49971527,1786732401,5000000
49976527,1786742401,5000000
49981527,1786752401,5000000
49986527,1786762401,5000000
49991527,1786772401,5000000
49996527,1786782401,5000000
50001527,1786792401,5000000
50006527,1786802401,5000000
50011527,1786812401,5000000
