block,timestamp,base_fee_wei
24996368,1777593611,147734710
24997368,1777605695,290686482
24998368,1777617731,300570953
24999368,1777629755,147486821
25000368,1777641791,419118074
25001368,1777653839,435667859
25002368,1777665851,352547649
25003368,1777677863,164449014
25004368,1777689899,180303063
25005368,1777701899,194235901
25006368,1777713899,239523016
25007368,1777725923,297769398
25008368,1777737935,611713052
25009368,1777749947,232582095
25010368,1777761995,170651623
25011368,1777774019,179754507
25012368,1777786103,142221431
25013368,1777798115,155426546
25014368,1777810115,147059396
25015368,1777822127,301489225
25016368,1777834151,279688790
25017368,1777846187,192777084
25018368,1777858259,225751965
25019368,1777870355,203315388
25020368,1777882427,334780230
25021368,1777894547,517295740
25022368,1777906583,1312172461
25023368,1777918631,550014688
25024368,1777930655,942270550
25025368,1777942715,102140438
25026368,1777954763,127004257
25027368,1777966835,200692624
25028368,1777978859,131890246
25029368,1777990883,715549542
25030368,1778002943,216261753
25031368,1778014943,129680714
25032368,1778026955,138176921
25033368,1778039015,108381100
25034368,1778051039,149409511
25035368,1778063039,170918264
25036368,1778075075,475717407
25037368,1778087135,1858854601
25038368,1778099171,295548215
25039368,1778111231,111459369
25040368,1778123267,495705455
25041368,1778135339,164996195
25042368,1778147351,263903397
25043368,1778159411,2361347238
25044368,1778171447,1254620518
25045368,1778183531,236152006
25046368,1778195555,139702303
25047368,1778207579,394338310
25048368,1778219591,679900974
25049368,1778231603,726224343
25050368,1778243615,7127129721
25051368,1778255639,926025433
25052368,1778267651,240958085
25053368,1778279687,133687073
25054368,1778291723,138615599
25055368,1778303747,103186109
25056368,1778315795,289240992
25057368,1778327831,169007922
25058368,1778339903,435052981
25059368,1778351963,231118407
25060368,1778363999,123871368
25061368,1778376047,135950002
25062368,1778388071,132283868
25063368,1778400119,160796401
25064368,1778412191,237813666
25065368,1778424227,444121736
25066368,1778436263,320610357
25067368,1778448335,204254161
25068368,1778460383,307225966
25069368,1778472419,204434429
25070368,1778484479,330954921
25071368,1778496515,568013460
25072368,1778508611,2616021336
25073368,1778520659,993509062
25074368,1778532707,320858907
25075368,1778544755,162620772
25076368,1778556791,114783123
25077368,1778568815,204717032
25078368,1778580851,526455190
25079368,1778592911,482645715
25080368,1778604947,709371441
25081368,1778616971,176831926
25082368,1778628995,114802423
25083368,1778641031,98812610
25084368,1778653031,110069533
25085368,1778665079,125817399
25086368,1778677151,448622098
25087368,1778689223,1733122138
25088368,1778701307,226308831
25089368,1778713451,120251754
25090368,1778725511,108370860
25091368,1778737583,147074661
25092368,1778749607,191319953
25093368,1778761619,345904840
25094368,1778773667,1187135682
25095368,1778785703,351744601
25096368,1778797763,153719017
25097368,1778809811,114548714
25098368,1778821883,101612447
25099368,1778833919,218297178
25100368,1778845955,110152228
25101368,1778857967,633411651
25102368,1778869979,6707311356
25103368,1778882003,127886541
25104368,1778894063,118858753
25105368,1778906075,129694284
25106368,1778918099,139259611
25107368,1778930135,178874600
25108368,1778942183,1701906547
25109368,1778954207,132805500
25110368,1778966219,99694672
25111368,1778978243,95177485
25112368,1778990267,87910290
25113368,1779002363,90750157
25114368,1779014411,181719348
25115368,1779026435,235804955
25116368,1779038483,185409333
25117368,1779050519,157999476
25118368,1779062519,262806687
25119368,1779074531,130968974
25120368,1779086555,108725169
25121368,1779098627,225194920
25122368,1779110663,235363791
25123368,1779122687,277843500
25124368,1779134711,122246667
25125368,1779146783,130651554
25126368,1779158867,102646349
25127368,1779170891,95032438
25128368,1779182891,143469021
25129368,1779194903,118593917
25130368,1779206927,315389093
25131368,1779218975,125551081
25132368,1779230999,104506646
25133368,1779243035,102186559
25134368,1779255095,119153634
25135368,1779267095,114641040
25136368,1779279155,306991062
25137368,1779291179,387309830
25138368,1779303215,118964633
25139368,1779315275,111739846
25140368,1779327359,93562741
25141368,1779339431,99576970
25142368,1779351443,113232799
25143368,1779363455,121600994
25144368,1779375467,128611725
25145368,1779387515,338303796
25146368,1779399539,109374046
25147368,1779411563,113869321
25148368,1779423623,89051813
25149368,1779435659,135385748
25150368,1779447731,102087596
25151368,1779459755,287410373
25152368,1779471815,61829778
25153368,1779483875,55507327
25154368,1779495899,50758646
25155368,1779507935,111892905
25156368,1779519971,83944361
25157368,1779532007,75429222
25158368,1779544019,111942977
25159368,1779556103,90414128
25160368,1779568175,93673348
25161368,1779580187,80830287
25162368,1779592223,103034478
25163368,1779604271,53087267
25164368,1779616295,94425896
25165368,1779628307,105275245
25166368,1779640367,99451401
25167368,1779652439,91964209
25168368,1779664463,69068529
25169368,1779676511,75576493
25170368,1779688583,72119038
25171368,1779700643,95836497
25172368,1779712667,206451151
25173368,1779724751,192213694
25174368,1779736787,153335485
25175368,1779748847,111464997
25176368,1779760883,134579555
25177368,1779772943,68356164
25178368,1779784967,78981747
25179368,1779797015,149094587
25180368,1779809039,479541873
25181368,1779821075,305041400
25182368,1779833111,55463967
25183368,1779845111,52040194
25184368,1779857135,74054962
25185368,1779869219,138137751
25186368,1779881267,158299923
25187368,1779893327,336961530
25188368,1779905387,320879178
25189368,1779917411,132220836
25190368,1779929483,144859783
25191368,1779941519,383934003
25192368,1779953555,158855264
25193368,1779965579,218186660
25194368,1779977579,1823262857
25195368,1779989639,321531814
25196368,1780001687,178992389
25197368,1780013735,169434189
25198368,1780025747,154233706
25199368,1780037771,99489196
25200368,1780049819,193467506
25201368,1780061879,357910784
25202368,1780073915,472769347
25203368,1780085939,519355648
25204368,1780098035,161268457
25205368,1780110083,162861390
25206368,1780122179,259750048
25207368,1780134203,241747967
25208368,1780146251,357103806
25209368,1780158311,317398784
25210368,1780170419,218262458
25211368,1780182467,97708174
25212368,1780194515,116357227
25213368,1780206575,132451728
25214368,1780218659,214715737
25215368,1780230707,133130346
25216368,1780242743,158467238
25217368,1780254803,171310739
25218368,1780266839,155091384
25218797,1780271999,113428606
