time_ms,funding_rate_hourly,premium
1777593600045,0.0000021401,-0.0004828795
1777597200040,0.0000125,-0.0003524195
1777600800073,0.0000125,-0.0003587855
1777604400003,0.0000125,-0.0003538154
1777608000097,0.0000125,-0.0002527101
1777611600029,0.0000125,-0.0001589698
1777615200052,0.0000125,-0.0002623944
1777618800028,0.0000125,-0.000224101
1777622400049,0.0000125,-0.0002045571
1777626000046,0.0000125,-0.000122664
1777629600063,0.0000125,-0.0001958152
1777633200046,0.0000125,-0.0002727327
1777636800012,0.0000125,-0.0002500823
1777640400028,0.0000125,-0.0001791695
1777644000051,0.0000125,-0.0001508978
1777647600002,0.0000125,-0.0000747243
1777651200055,0.0000125,-0.0000746797
1777654800055,0.0000125,-0.0001069257
1777658400043,0.0000125,-0.0001652981
1777662000031,0.0000125,-0.0001828988
1777665600011,0.0000125,-0.0001561689
1777669200059,0.0000125,-0.0001323807
1777672800054,0.0000125,-0.0002015219
1777676400002,0.0000125,-0.0000497844
1777680000010,0.0000125,-0.0000554618
1777683600070,0.0000125,-0.0001161208
1777687200056,0.0000125,-0.0001421192
1777690800038,0.0000125,-0.0001180527
1777694400019,0.0000125,-0.0001891683
1777698000004,0.0000125,-0.0003072017
1777701600040,0.0000125,-0.0002090057
1777705200044,0.0000125,-0.0001613342
1777708800031,0.0000125,-0.0000586918
1777712400002,0.0000125,-0.0000251381
1777716000010,0.0000125,-0.0000811848
1777719600041,0.0000125,-0.0000460091
1777723200048,0.0000125,-0.0000265352
1777726800017,0.0000125,-0.0000185367
1777730400025,0.0000125,-0.0000036781
1777734000021,0.0000125,-0.0000073186
1777737600033,0.0000125,-0.0000018155
1777741200048,0.0000125,-0.0000007896
1777744800025,0.0000125,-0.0000241848
1777748400038,0.0000125,-0.0000044317
1777752000064,0.0000125,-0.0000005373
1777755600020,0.0000125,-0.0000019853
1777759200000,0.0000125,-0.0000037691
1777762800067,0.0000125,-0.0000020989
1777766400049,0.0000125,-0.0000037009
1777770000025,0.0000125,-0.0000081448
1777773600016,0.0000125,-0.0000242682
1777777200053,0.0000125,-0.0000622425
1777780800034,0.0000125,-0.0001772659
1777784400010,0.0000125,-0.0001308882
1777788000024,0.0000125,-0.0001129589
1777791600004,0.0000125,-0.0001305179
1777795200037,0.0000125,-0.000094096
1777798800018,0.0000125,-0.0000176595
1777802400038,0.0000125,-0.0000161766
1777806000052,0.0000125,-0.0000150955
1777809600047,0.0000125,-0.00001946
1777813200005,0.0000125,-0.0000025782
1777816800027,0.0000125,-0.0000083593
1777820400059,0.0000125,-0.0000124847
1777824000054,0.0000125,-0.0000024778
1777827600044,0.0000125,-0.0000084925
1777831200060,0.0000125,-0.0000190848
1777834800014,0.0000125,-0.0000271781
1777838400040,0.0000125,-0.0000731936
1777842000037,0.0000125,-0.0000160219
1777845600024,0.0000125,-0.0000456648
1777849200039,0.0000125,-0.0000360745
1777852800030,0.0000125,-0.0000441341
1777856400063,0.0000125,-0.0001366567
1777860000059,0.0000125,-0.0001179389
1777863600012,0.0000125,-0.0000555942
1777867200014,0.0000125,-0.0000395734
1777870800025,0.0000125,-0.0000309183
1777874400035,0.0000125,-0.0000208037
1777878000001,0.0000125,-0.0000444888
1777881600065,0.0000125,0.0000728218
1777885200015,0.0000125,0.0001803404
1777888800011,0.0000125,0.000124839
1777892400065,0.0000125,0.0000129265
1777896000066,0.0000125,-0.0000053634
1777899600032,0.0000125,-0.0000092773
1777903200079,0.0000125,-0.000018866
1777906800062,0.0000125,-0.0000115975
1777910400030,0.0000125,-0.0000298408
1777914000041,0.0000125,-0.0000271961
1777917600053,0.0000125,-0.0000724877
1777921200037,0.0000125,-0.00021969
1777924800060,0.0000125,-0.0003045251
1777928400052,0.0000125,-0.0003339931
