evt_block_number,evt_block_time,evt_tx_hash,liquidity_removed,owner,tickLower,tickUpper,token0_out,token1_out
23264662,2025-09-01 00:19:35.000 UTC,0x462e09ccb7f320b718425d77f83e6afe7fbcb19854ab8a62ebd81cb5ebeb4cec,12009378946513633280,0x1f2f10d1c40777ae1da742455c65828ff36df387,-192480,-192420,357853396491783934098,814451983265
23264695,2025-09-01 00:26:11.000 UTC,0x6e5a2faf2ae99ac055f2359ca35ff03f43f967cb3d752e8822266a176ce2c2f6,170259359950042166,0xc36442b4a4522e871399cd717abdd847ab11fe88,-193680,-191760,89256814573489446000,663530356272
23264701,2025-09-01 00:27:23.000 UTC,0x42ecc367d90e0d42edf41310500a4c84ee93264169113b55edbf10734f0fd2c0,22699739712342458368,0x1f2f10d1c40777ae1da742455c65828ff36df387,-192480,-192420,843398332897279995077,807468219361
23264750,2025-09-01 00:37:11.000 UTC,0x7558e62e9899ed02d2749dcdc6c331ccb2850172485a6a69933be44db1f92468,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-193200,-191340,0,0
23264773,2025-09-01 00:41:47.000 UTC,0xfa664d0755559a14677f60236ef663c23094ebec818391460f2fafb4bb6ca412,164175037904668253,0xc36442b4a4522e871399cd717abdd847ab11fe88,-193620,-191760,87974971631481859322,600734603689
23264776,2025-09-01 00:42:23.000 UTC,0x280add7102c70f89d4ec0f252c5c2c110da1dbbfecf46a19ced89e40ec5453b6,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-887220,887220,0,0
23264800,2025-09-01 00:47:11.000 UTC,0xd8cfb30ac7d8e6dcbdbcbd70b03b13fd22c11d2fc052d2f8887851bac83a7d4c,6395888619428511744,0x1f2f10d1c40777ae1da742455c65828ff36df387,-192480,-192420,103784511293264113008,814746074845
23264867,2025-09-01 01:00:35.000 UTC,0x967bbd150bbcfa07464e3b545e7d50b25a3d98a64e2ad537f556a4b9badbc3c3,12977232777940624,0xc36442b4a4522e871399cd717abdd847ab11fe88,-194280,-189840,23814609661996920394,75825046743
23264987,2025-09-01 01:24:59.000 UTC,0x2deb1c6a85cc82428beb8685a11bfa3e39fe2b9c0ce6d7b5919d1fc05c6f4807,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-194160,-191220,0,0
23265057,2025-09-01 01:38:59.000 UTC,0x04991f4721762427491fe2d20cda5ab65c69579b77dca66f8dd9d6f4edb618ae,23610553608770174,0xc36442b4a4522e871399cd717abdd847ab11fe88,-192600,-192360,833396339058669761,15059825791
23265076,2025-09-01 01:42:47.000 UTC,0xf86b3ca09a26328594aac8a498be838a68e832675e99ab317775b5edb2fd956f,25124948154974340,0xc36442b4a4522e871399cd717abdd847ab11fe88,-192480,-192240,3099938169177378001,6282399585
23265169,2025-09-01 02:01:23.000 UTC,0xf9387fd5c070f32be21953480028b7dd013cd5d964fac5cb08861e0dcfaa39c6,16232767196218,0xc36442b4a4522e871399cd717abdd847ab11fe88,-195960,-191820,6790685652887832,176655944
23265221,2025-09-01 02:11:47.000 UTC,0x6ed5cac96e0240adfc4d13d65a679442db65037926b225a8bc9057f836a15dc3,4521969709301628928,0x1f2f10d1c40777ae1da742455c65828ff36df387,-192420,-192360,113763918443758775781,398402320997
23265344,2025-09-01 02:36:35.000 UTC,0x328476fc298a8509b5990a3f52c769b618fa940f206766398e79e3efb09a7694,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-192720,-191340,0,0
23265397,2025-09-01 02:47:11.000 UTC,0xbe91fa246f9643fada6162db4619cb2a7d972eb031a75d028f19133c1e13c4d7,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-192660,-191940,0,0
23265422,2025-09-01 02:52:11.000 UTC,0x278025bc76562117199400844b927f1dfcdbfa77b23dde8bdeb430a2cf33b0f3,24518338553160886,0xc36442b4a4522e871399cd717abdd847ab11fe88,-192540,-192300,3854206420828071427,2525987442
23265464,2025-09-01 03:00:35.000 UTC,0x06a7d634a8af82069e204b9033485629656b1e52193990a9684eb9aa4c5d2aa9,12444605029316966,0xc36442b4a4522e871399cd717abdd847ab11fe88,-192480,-192240,2243772101315811249,0
23265477,2025-09-01 03:03:11.000 UTC,0xb00717e74e862b24575824ed6a57828ed0cb33f1535aed40cde8ef63aa370d61,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-194220,-189780,0,0
23265507,2025-09-01 03:09:11.000 UTC,0x9c3012ba643c4f621957ac63b9d4c9bc1950c9202bc5bc8c8dee96b20674e9e7,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-194280,-190740,0,0
23265520,2025-09-01 03:11:47.000 UTC,0x9fc0b81e3863319651666f952e3ae5d73403ca524ec705397a065e0b39181f51,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,-194640,-188880,0,0
