call_block_number,call_block_time,contract_address,output_feeProtocol,output_sqrtPriceX96,output_tick
23264596,2025-09-01 00:06:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246665246043311943857518,-192460
23264642,2025-09-01 00:15:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246661594975338163722432,-192460
23264662,2025-09-01 00:19:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246666337163491894191837,-192460
23264774,2025-09-01 00:41:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5240813222180174096674393,-192482
23265061,2025-09-01 01:39:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5260476219923771801365444,-192407
23265077,2025-09-01 01:42:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5261103948718199257000591,-192405
23265097,2025-09-01 01:46:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5266503130281399277590895,-192385
23265100,2025-09-01 01:47:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5266495168487329545944097,-192385
23265113,2025-09-01 01:50:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5266495180513675858099322,-192385
23265291,2025-09-01 02:25:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5250246841003634328282647,-192446
23265338,2025-09-01 02:35:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246134453865738349873468,-192462
23265392,2025-09-01 02:46:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246135656361049584997280,-192462
23265397,2025-09-01 02:47:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246135738295207535047954,-192462
23265397,2025-09-01 02:47:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5246135656361049584997280,-192462
23265417,2025-09-01 02:51:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5233756137180471951115715,-192509
