final_pv,pnl,initial_capital,cash_pct,oor_pct,trade_count,enter_count,recenter_count,same_width_recenter_count,exit_count,gross_fee_carry_usd,raw_swing_pnl_usd,raw_boundary_il_last_usd,raw_boundary_il_abs_max_usd,hedge_accounting_mode,steps,cum_reward,cum_reward_usd,lp_fee_usd,funding_cost_usd,tx_cost_usd,hedge_pnl_usd,lp_value_change_usd,il_realized_usd,time_in_range_pct,time_oor_pct,time_cash_pct,masked_invalid_actions,n_hold,n_go_cash_requested,n_stay_cash,n_entries,rebalance_count,episode_kind,episode_id,policy,start_idx,end_idx,start_ts,end_ts
1078.0784344743906,78.07843447439063,1000.0,22.770919067215363,19.753086419753085,398,166,66,66,166,214.8271022723793,-136.74866779798694,-0.14107513288308837,20.90228437191331,continuous_delta_hedged,729,0.07807843447439236,78.07843447439237,345.1915145436416,1.2926599144012734,129.071752356861,141.001363776908,-277.75003157489493,0.0,57.475994513031544,19.753086419753085,22.770919067215363,0,331,166,0,166,232,episode,0,shipped_dqn,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1254.7316401496003,254.73164014960025,1000.0,0.1371742112482853,22.08504801097394,162,1,161,161,0,456.241992537651,-201.51035238805179,-0.24164350797127554,22.574465998872483,continuous_delta_hedged,729,0.2547316401495992,254.7316401495992,516.9001782571473,2.092415505045813,58.56577021445045,294.97395673997147,-496.48430912802326,0.0,77.77777777777779,22.08504801097394,0.1371742112482853,0,567,0,0,1,162,episode,0,always_in_w10,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1041.2183761752617,41.21837617526171,1000.0,0.1371742112482853,84.0877914951989,1,1,0,0,0,79.0603691757425,-37.84199300048095,-30.96764844611448,53.378389597019805,continuous_delta_hedged,729,0.041218376175261556,41.218376175261554,80.56345919436949,1.1730900186269881,0.33,-38.65552514513974,0.8135321446587795,0.0,15.775034293552812,84.0877914951989,0.1371742112482853,0,728,0,0,1,1,episode,0,always_in_w10_no_recenter,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1164.3523172154678,164.3523172154678,1000.0,0.1371742112482853,7.818930041152264,58,1,57,57,0,300.5546234931834,-136.20230627771562,-0.11267067023140953,16.228126693308468,continuous_delta_hedged,729,0.1643523172154677,164.3523172154677,322.9521497034775,1.9807112051479656,20.416815005146226,114.4383312458078,-250.64063752352342,0.0,92.04389574759945,7.818930041152264,0.1371742112482853,0,671,0,0,1,58,episode,0,always_in_w20,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1405.1538072241367,405.1538072241367,1000.0,0.1371742112482853,50.34293552812071,368,1,367,367,0,682.4877780634861,-277.33397083934665,-0.8714706193266011,17.66500059219993,continuous_delta_hedged,729,0.4051538072241394,405.1538072241394,822.7362622651058,2.0524513412075116,138.1960328604122,523.9621763006979,-801.2961471400446,0.0,49.519890260631,50.34293552812071,0.1371742112482853,0,361,0,0,1,368,episode,0,always_in_w4,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1346.658078744291,346.65807874429106,1000.0,0.1371742112482853,36.07681755829904,264,1,263,263,0,600.9689111710765,-254.3108324267846,-1.2172177964562252,16.4024365374612,continuous_delta_hedged,729,0.3466580787442918,346.65807874429174,701.4718304861285,2.0331922020261577,98.46972711302597,393.81299158917784,-648.1238240159624,0.0,63.78600823045267,36.07681755829904,0.1371742112482853,0,465,0,0,1,264,episode,0,always_in_w6,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1000.0,0.0,1000.0,100.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,continuous_delta_hedged,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,729,0,0,episode,0,always_cash,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1147.3923287404998,147.3923287404998,1000.0,72.0164609053498,15.912208504801098,133,12,110,0,11,242.39002221262086,-94.99769347212091,-0.71161115222435,14.542178820737718,continuous_delta_hedged,729,0.14739232874049993,147.39232874049992,288.2311618309836,0.5653346980182421,45.27580492034446,0.0,0.0,0.0,12.071330589849108,15.912208504801098,72.0164609053498,0,83,0,513,12,122,episode,0,paper_w4_threshold,1189,1919,2025-12-20 08:00:00+00:00,2026-01-19 17:00:00+00:00
1147.072845563108,147.0728455631081,1000.0,13.168724279835391,53.49794238683128,365,83,199,199,83,968.5163821649603,-821.4435366018542,-2.573229331321272,71.54602458181068,continuous_delta_hedged,729,0.14707284556310604,147.07284556310594,1098.4736712472964,1.745190068178319,128.21209901415787,552.7394954441816,-1374.1830320460358,0.0,33.33333333333333,53.49794238683128,13.168724279835391,0,351,83,13,83,282,episode,1,shipped_dqn,1919,2649,2026-01-19 18:00:00+00:00,2026-02-19 03:00:00+00:00
1118.617312784212,118.61731278421189,1000.0,0.1371742112482853,42.524005486968456,311,1,310,310,0,1283.120894476832,-1164.5035816926206,-0.4304291802100124,26.940227205894644,continuous_delta_hedged,729,0.11861731278421153,118.61731278421152,1398.0374928409656,2.1199228599004143,112.79667550423301,672.6169327591101,-1837.1205144517307,0.0,57.338820301783265,42.524005486968456,0.1371742112482853,0,418,0,0,1,311,episode,1,always_in_w10,1919,2649,2026-01-19 18:00:00+00:00,2026-02-19 03:00:00+00:00
