open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-06-29 17:00:00,61009.91,61060.98,60937.03,61040.77,339.98388,2024-06-29 17:59:59.999,20739343.1209249,29030,162.32529,9902670.1800052
2024-06-29 18:00:00,61040.77,61065.0,60990.0,61059.04,232.46287,2024-06-29 18:59:59.999,14185354.9716879,22424,104.65356,6386011.1862982
2024-06-29 19:00:00,61059.04,61080.0,60933.98,61057.39,291.28873,2024-06-29 19:59:59.999,17775984.0479723,27037,136.9256,8355457.4114144
2024-06-29 20:00:00,61057.38,61088.4,60970.0,61050.0,319.46435,2024-06-29 20:59:59.999,19499979.325158,23096,142.84685,8718800.369495
2024-06-29 21:00:00,61050.0,61090.0,60944.94,61044.99,319.53467,2024-06-29 21:59:59.999,19498161.0260443,23221,138.72008,8465072.4323003
2024-06-29 22:00:00,61044.99,61060.0,60839.51,60970.0,362.76005,2024-06-29 22:59:59.999,22115851.6972587,35816,144.60976,8814765.7579462
2024-06-29 23:00:00,60970.0,61059.37,60940.0,60986.68,202.05321,2024-06-29 23:59:59.999,12325609.8024306,24516,88.08706,5373443.3143506
2024-06-30 00:00:00,60986.68,61078.01,60922.0,61024.55,362.93786,2024-06-30 00:59:59.999,22139950.8771892,32032,191.54437,11684084.0678608
2024-06-30 01:00:00,61024.55,61043.44,60930.03,60961.99,340.23076,2024-06-30 01:59:59.999,20746377.5413947,34901,141.98327,8657112.493905
2024-06-30 02:00:00,60961.99,60961.99,60740.94,60834.27,779.37325,2024-06-30 02:59:59.999,47435451.4287313,52181,335.40019,20414273.5562435
2024-06-30 03:00:00,60834.27,60949.36,60791.98,60898.32,323.57561,2024-06-30 03:59:59.999,19697433.3769743,21778,171.79178,10459080.2715341
2024-06-30 04:00:00,60898.32,60901.2,60765.18,60777.55,271.34112,2024-06-30 04:59:59.999,16504393.4243654,26290,104.45594,6353488.4289052
2024-06-30 05:00:00,60777.54,60809.99,60712.21,60789.26,291.90375,2024-06-30 05:59:59.999,17737942.9628193,24124,130.7906,7947900.6746145
2024-06-30 06:00:00,60789.26,61040.18,60771.33,61040.18,434.42125,2024-06-30 06:59:59.999,26459392.2323464,21712,314.01425,19127642.3711598
2024-06-30 07:00:00,61040.17,61782.0,61040.17,61528.01,2146.12361,2024-06-30 07:59:59.999,132052986.8518218,111308,1040.4064,63988031.9982378
2024-06-30 08:00:00,61528.01,61608.07,61393.07,61556.01,715.99557,2024-06-30 08:59:59.999,44038728.2030366,46774,287.22225,17665670.2075967
2024-06-30 09:00:00,61556.0,61713.65,61511.11,61529.7,632.89719,2024-06-30 09:59:59.999,38993372.2930038,42278,255.87621,15765615.7441778
2024-06-30 10:00:00,61529.7,61634.72,61504.42,61540.0,379.8306,2024-06-30 10:59:59.999,23386917.0634195,35283,146.67248,9030158.6364004
2024-06-30 11:00:00,61540.0,61668.0,61524.51,61560.0,624.88318,2024-06-30 11:59:59.999,38493091.6718024,30698,209.74232,12919566.5818391
2024-06-30 12:00:00,61560.0,61660.0,61346.0,61496.0,533.79097,2024-06-30 12:59:59.999,32828840.1669714,37661,200.23084,12317468.7389921
2024-06-30 13:00:00,61496.0,61747.0,61456.34,61719.61,738.73927,2024-06-30 13:59:59.999,45517977.4426812,41284,301.95672,18609605.5491938
2024-06-30 14:00:00,61719.61,61860.0,61528.16,61587.11,880.16588,2024-06-30 14:59:59.999,54290115.7322701,44996,374.28018,23091709.021436
2024-06-30 15:00:00,61587.11,61776.71,61587.1,61717.9,512.18463,2024-06-30 15:59:59.999,31596292.1348621,30659,228.92453,14121228.7928567
2024-06-30 16:00:00,61717.9,61749.08,61590.01,61603.54,407.98837,2024-06-30 16:59:59.999,25152358.3475816,27222,138.1129,8515698.8792474
