range_percentage,apr_percentage
0.5,578.5393905093382
1.0,289.6859333868405
1.5,193.3690564484987
2.0,145.20286551451272
2.5,116.29960045642214
3.0,97.02853761611604
3.5,83.26186379839187
4.0,72.9355541500828
4.5,64.90288143348914
5.0,58.47578822706526
5.5,53.21640932705035
6.0,48.83282896939444
6.5,45.122948407875285
7.0,41.94240945734889
7.5,39.185348227875764
8.0,36.7723660019173
8.5,34.64274556987594
9.0,32.749262054417976
9.5,31.054632382333548
10.0,29.529029890431392
10.5,28.148309028534023
11.0,26.89271422429153
11.5,25.74592555915115
12.0,24.694343020770322
12.5,23.72654253169329
13.0,22.832857507649955
13.5,22.005053401312257
14.0,21.236071985523907
14.5,20.51982854260346
15.0,19.851049615158097
15.5,19.22514215949304
16.0,18.638087232396966
16.5,18.08635300732555
17.0,17.566823140455515
17.5,17.0767374166741
18.0,16.613642287769984
18.5,16.175349431350085
19.0,15.759900852998902
19.5,15.36553935726454
20.0,14.990683447938702
