range_percentage,apr_percentage
0.5,1004.5221785053295
1.0,504.2846203913372
1.5,336.91086949354826
2.0,253.1028449015948
2.5,202.77733253751595
3.0,169.20872717829124
3.5,145.22125592819756
4.0,127.22451706351112
4.5,113.22284842289679
5.0,102.01840485733487
5.5,92.84869905311884
6.0,85.2052872283152
6.5,78.7361022441434
7.0,73.1896271823355
7.5,68.38139114008223
8.0,64.17302469656376
8.5,60.45870512826602
9.0,57.156118477586446
9.5,54.20027486226301
10.0,51.53917867147435
10.5,49.13073551824232
11.0,46.940502535120324
11.5,44.94002540608778
12.0,43.10559104326026
12.5,41.41727955398759
13.0,39.85823493754624
13.5,38.41409781553801
14.0,37.07255969568575
14.5,35.82300943905302
15.0,34.65625042058103
15.5,33.56427242282225
16.0,32.54006629208577
16.5,31.577472287719683
17.0,30.67105518885404
17.5,29.8160008079689
18.0,29.008029749499077
18.5,28.243325151394238
19.0,27.518471834207887
19.5,26.830404810503357
20.0,26.17636551675225
